,sLapDistance,xCarX,xCarY,aYaw,vCar
00:00.0,2.17,361.22,331.98,-143.17,226.8
00:00.1,5.33,363.74,333.88,-143.3,227.36
00:00.1,8.49,366.26,335.77,-143.41,227.86
00:00.2,11.66,368.8,337.67,-143.56,228.39
00:00.2,14.83,371.35,339.56,-143.7,228.91
00:00.3,18.02,373.91,341.45,-143.85,229.45
00:00.3,21.21,376.49,343.34,-144.01,229.95
00:00.4,24.4,379.07,345.22,-144.15,230.46
00:00.4,27.61,381.66,347.11,-144.29,230.92
00:00.5,30.82,384.26,348.99,-144.49,231.4
00:00.5,34.03,386.87,350.87,-144.63,231.94
00:00.6,37.26,389.5,352.74,-144.76,232.42
00:00.6,40.49,392.13,354.62,-144.92,232.89
00:00.7,43.73,394.77,356.48,-145.1,233.38
00:00.7,46.97,397.43,358.35,-145.29,233.83
00:00.8,50.22,400.09,360.21,-145.49,234.32
00:00.8,53.48,402.77,362.07,-145.64,234.77
00:00.9,56.74,405.46,363.92,-145.84,235.19
00:00.9,60.01,408.16,365.76,-146.08,235.69
00:01.0,63.29,410.87,367.61,-146.25,236.15
00:01.0,66.57,413.59,369.44,-146.4,236.59
00:01.1,69.86,416.32,371.27,-146.57,237.05
00:01.1,73.16,419.07,373.1,-146.72,237.49
00:01.2,76.46,421.82,374.92,-146.94,237.89
00:01.2,79.77,424.58,376.73,-147.23,238.33
00:01.3,83.08,427.36,378.54,-147.48,238.78
00:01.3,86.4,430.15,380.34,-147.64,239.23
00:01.4,89.73,432.95,382.14,-147.78,239.66
00:01.4,93.06,435.76,383.92,-147.98,240.05
00:01.5,96.39,438.58,385.71,-148.21,240.49
00:01.5,99.74,441.42,387.48,-148.42,240.92
00:01.6,103.09,444.26,389.25,-148.63,241.32
00:01.6,106.44,447.12,391.01,-148.86,241.75
00:01.7,109.8,449.98,392.76,-149.03,242.16
00:01.7,113.17,452.86,394.5,-149.23,242.56
00:01.8,116.54,455.75,396.24,-149.49,242.95
00:01.8,119.92,458.65,397.97,-149.7,243.37
00:01.9,123.3,461.57,399.69,-149.87,243.75
00:01.9,126.69,464.49,401.4,-150.12,244.14
00:02.0,130.08,467.42,403.11,-150.39,244.55
00:02.0,133.48,470.37,404.8,-150.71,244.94
00:02.0,136.88,473.33,406.49,-151.03,245.3
00:02.1,140.29,476.3,408.16,-151.31,245.71
00:02.2,143.71,479.29,409.82,-151.53,246.08
00:02.2,147.13,482.28,411.46,-151.79,246.45
00:02.3,150.55,485.29,413.1,-152.05,246.82
00:02.3,153.98,488.31,414.73,-152.3,247.19
00:02.4,157.42,491.34,416.34,-152.56,247.56
00:02.4,160.86,494.39,417.95,-152.8,247.94
00:02.5,164.31,497.44,419.54,-152.98,248.28
00:02.5,167.76,500.51,421.12,-153.15,248.65
00:02.6,171.21,503.58,422.7,-153.42,248.83
00:02.6,174.67,506.67,424.27,-153.85,249.29
00:02.7,178.14,509.76,425.82,-154.15,249.63
00:02.7,181.6,512.87,427.36,-154.39,249.99
00:02.8,185.08,515.99,428.89,-154.49,250.36
