,sLapDistance,xCarX,xCarY,aYaw,vCar
00:00.0,2.29,4.9,-1.55,-133.78,213.33
00:00.1,5.26,6.96,0.58,-133.79,213.96
00:00.1,8.24,9.03,2.73,-133.85,214.55
00:00.2,11.22,11.1,4.88,-133.9,215.21
00:00.2,14.21,13.17,7.03,-133.94,215.8
00:00.3,17.22,15.26,9.19,-133.95,216.41
00:00.3,20.23,17.34,11.36,-133.97,216.99
00:00.4,23.24,19.44,13.53,-134.04,217.61
00:00.4,26.27,21.54,15.71,-134.08,218.16
00:00.5,29.3,23.65,17.88,-134.11,217.65
00:00.5,32.31,25.75,20.05,-134.16,215.83
00:00.6,35.29,27.82,22.19,-134.22,213.32
00:00.6,38.23,29.87,24.3,-134.23,210.11
00:00.7,41.12,31.89,26.37,-134.23,206.42
00:00.7,43.96,33.87,28.4,-134.29,202.74
00:00.8,46.76,35.82,30.4,-134.18,199.85
00:00.8,49.51,37.75,32.38,-133.93,197.4
00:00.9,52.24,39.65,34.33,-133.73,194.94
00:00.9,54.93,41.52,36.26,-133.59,191.58
00:01.0,57.57,43.35,38.15,-133.66,188.27
00:01.0,60.16,45.15,40.02,-133.75,185.29
00:01.1,62.71,46.92,41.86,-133.68,182.49
00:01.1,65.22,48.66,43.68,-133.4,179.49
00:01.2,67.7,50.37,45.47,-132.9,176
00:01.2,70.12,52.03,47.22,-132.59,172.53
00:01.3,72.49,53.66,48.96,-132.6,169.37
00:01.3,74.82,55.24,50.66,-132.49,166.09
00:01.4,77.11,56.8,52.34,-132.33,163.09
00:01.4,79.35,58.32,53.99,-132.2,160.47
00:01.5,81.56,59.81,55.62,-131.74,158.29
00:01.5,83.74,61.28,57.24,-130.98,155.62
00:01.6,85.89,62.7,58.83,-130.19,152.41
00:01.6,87.98,64.09,60.4,-129.86,149.24
00:01.7,90.03,65.43,61.96,-130.02,146.41
00:01.7,92.05,66.74,63.49,-129.98,143.6
00:01.8,94.02,68.02,64.99,-129.8,140.87
00:01.8,95.96,69.26,66.48,-129.41,138.15
00:01.9,97.86,70.47,67.94,-128.87,135.4
00:01.9,99.72,71.65,69.38,-128.41,132.87
00:02.0,101.55,72.8,70.81,-127.98,130.57
00:02.0,103.35,73.92,72.22,-127.49,128.4
00:02.0,105.12,75,73.62,-126.91,126.34
00:02.1,106.86,76.06,75,-126.21,124.39
00:02.2,108.57,77.08,76.38,-125.52,122.51
