,sLapDistance,xCarX,xCarY,aYaw,vCar
00:00.0,1.45,-19,-103.73,1.42,201.44
00:00.1,4.26,-21.8,-103.81,1.44,202.16
00:00.1,7.07,-24.61,-103.88,1.52,202.86
00:00.2,9.89,-27.44,-103.96,1.62,203.57
00:00.2,12.72,-30.27,-104.04,1.74,204.29
00:00.3,15.57,-33.11,-104.12,1.85,204.99
00:00.3,18.42,-35.96,-104.21,1.95,205.68
00:00.4,21.28,-38.82,-104.3,2.05,206.39
00:00.4,24.15,-41.69,-104.4,2.11,207.1
00:00.5,27.03,-44.57,-104.5,2.14,207.77
00:00.5,29.92,-47.46,-104.61,2.17,208.45
00:00.6,32.82,-50.35,-104.71,2.21,209.1
00:00.6,35.73,-53.26,-104.82,2.26,209.76
00:00.7,38.65,-56.18,-104.94,2.31,210.4
00:00.7,41.58,-59.1,-105.05,2.37,211.09
00:00.8,44.51,-62.03,-105.17,2.41,211.63
00:00.8,47.45,-64.97,-105.29,2.5,211.43
00:00.9,50.38,-67.9,-105.42,2.67,211.03
00:00.9,53.31,-70.83,-105.55,2.72,210.65
00:01.0,56.23,-73.75,-105.68,2.7,210.3
00:01.0,59.15,-76.66,-105.81,2.69,210
00:01.1,62.07,-79.57,-105.95,2.68,209.71
00:01.1,64.98,-82.48,-106.09,2.7,209.41
00:01.2,67.88,-85.38,-106.22,2.78,209.07
00:01.2,70.78,-88.28,-106.36,2.93,208.67
00:01.3,73.68,-91.17,-106.51,3.02,208.21
00:01.3,76.57,-94.06,-106.65,3.03,207.56
00:01.4,79.45,-96.93,-106.8,3,207.24
00:01.4,82.32,-99.81,-106.95,3.02,206.94
00:01.5,85.2,-102.67,-107.11,3.1,206.6
00:01.5,88.06,-105.54,-107.26,3.17,206.24
00:01.6,90.92,-108.39,-107.42,3.26,205.88
00:01.6,93.78,-111.25,-107.58,3.3,205.54
00:01.7,96.63,-114.09,-107.74,3.33,205.22
00:01.7,99.48,-116.94,-107.9,3.39,204.88
00:01.8,102.33,-119.78,-108.07,3.44,204.55
00:01.8,105.16,-122.61,-108.24,3.5,204.24
00:01.9,108,-125.44,-108.41,3.58,203.94
00:01.9,110.83,-128.26,-108.58,3.69,203.62
00:02.0,113.65,-131.08,-108.76,3.8,203.28
00:02.0,116.47,-133.9,-108.94,3.9,202.95
00:02.0,119.29,-136.71,-109.13,4,202.63
00:02.1,122.1,-139.51,-109.32,4.08,202.32
00:02.2,124.91,-142.32,-109.52,4.15,202
00:02.2,127.71,-145.11,-109.72,4.19,201.7
00:02.3,130.51,-147.9,-109.92,4.25,201.39
00:02.3,133.31,-150.69,-110.13,4.32,201.08
00:02.4,136.1,-153.47,-110.34,4.39,200.76
00:02.4,138.89,-156.25,-110.55,4.46,200.46
00:02.5,141.67,-159.03,-110.76,4.53,200.15
00:02.5,144.45,-161.79,-110.98,4.64,199.84
00:02.6,147.22,-164.56,-111.21,4.77,199.51
00:02.6,149.99,-167.32,-111.43,4.87,199.21
00:02.7,152.75,-170.07,-111.66,4.95,198.94
00:02.7,155.51,-172.82,-111.9,5.06,198.64
00:02.8,158.27,-175.57,-112.14,5.14,198.3
00:02.8,161.02,-178.31,-112.38,5.18,198
