,sLapDistance,xCarX,xCarY,aYaw,vCar
00:00.0,1151.67,6.5,5.07,-74.22,206.94
00:00.1,1154.55,5.72,7.84,-74.24,207.55
00:00.1,1157.44,4.93,10.62,-74.26,208.18
00:00.2,1160.33,4.14,13.4,-74.26,208.8
00:00.2,1163.24,3.35,16.2,-74.26,209.41
00:00.3,1166.15,2.56,19,-74.26,210.03
00:00.3,1169.07,1.76,21.81,-74.26,210.63
00:00.4,1172,0.97,24.63,-74.26,211.22
00:00.4,1174.94,0.17,27.46,-74.26,211.8
00:00.5,1177.89,-0.63,30.29,-74.25,212.38
00:00.5,1180.84,-1.43,33.14,-74.26,212.95
00:00.6,1183.8,-2.24,35.99,-74.26,213.53
00:00.6,1186.77,-3.05,38.84,-74.25,214.11
00:00.7,1189.75,-3.86,41.71,-74.24,214.67
00:00.7,1192.73,-4.67,44.58,-74.23,215.21
00:00.8,1195.73,-5.48,47.46,-74.21,215.78
00:00.8,1198.73,-6.3,50.35,-74.15,216.33
00:00.9,1201.74,-7.12,53.24,-74.06,216.88
00:00.9,1204.75,-7.95,56.14,-73.93,217.42
00:01.0,1207.77,-8.78,59.05,-73.77,217.97
00:01.0,1210.81,-9.62,61.96,-73.59,218.51
00:01.1,1213.84,-10.48,64.88,-73.41,219.05
00:01.1,1216.89,-11.34,67.8,-73.23,219.57
00:01.2,1219.94,-12.21,70.73,-73.05,220.09
00:01.2,1223,-13.09,73.66,-72.87,220.62
00:01.3,1226.07,-13.98,76.59,-72.71,221.14
00:01.3,1229.15,-14.88,79.53,-72.56,221.66
00:01.4,1232.23,-15.8,82.48,-72.45,222.17
00:01.4,1235.32,-16.72,85.43,-72.37,222.68
00:01.5,1238.41,-17.65,88.38,-72.29,223.18
00:01.5,1241.52,-18.58,91.34,-72.22,223.69
00:01.6,1244.63,-19.53,94.3,-72.15,224.19
00:01.6,1247.75,-20.48,97.27,-72.07,224.68
00:01.7,1250.87,-21.44,100.24,-71.98,225.18
00:01.7,1254,-22.4,103.22,-71.9,225.66
00:01.8,1257.14,-23.37,106.21,-71.82,226.15
00:01.8,1260.28,-24.34,109.2,-71.74,226.63
00:01.9,1263.43,-25.33,112.19,-71.68,227.11
00:01.9,1266.59,-26.31,115.19,-71.66,227.59
00:02.0,1269.75,-27.3,118.19,-71.65,228.06
00:02.0,1272.93,-28.3,121.2,-71.66,228.53
00:02.0,1276.1,-29.3,124.22,-71.67,229
00:02.1,1279.29,-30.3,127.24,-71.68,229.46
00:02.2,1282.48,-31.3,130.27,-71.69,229.92
00:02.2,1285.67,-32.31,133.31,-71.69,230.17
00:02.3,1288.86,-33.31,136.33,-71.69,229.15
00:02.3,1292.03,-34.31,139.34,-71.69,226.87
00:02.4,1295.16,-35.29,142.31,-71.67,223.75
00:02.4,1298.24,-36.26,145.24,-71.65,220.25
00:02.5,1301.28,-37.22,148.12,-71.65,216.62
00:02.5,1304.26,-38.16,150.95,-71.64,213.07
00:02.6,1307.19,-39.08,153.74,-71.62,209.53
00:02.6,1310.08,-39.99,156.48,-71.6,205.93
00:02.7,1312.92,-40.89,159.16,-71.57,202.2
00:02.7,1315.7,-41.77,161.8,-71.53,198.48
00:02.8,1318.43,-42.63,164.4,-71.47,194.8
00:02.8,1321.11,-43.48,166.94,-71.39,191.19
00:02.9,1323.74,-44.32,169.43,-71.31,187.67
00:02.9,1326.32,-45.14,171.88,-71.25,184.18
00:03.0,1328.86,-45.95,174.28,-71.2,180.6
00:03.0,1331.34,-46.75,176.63,-71.16,176.93
00:03.1,1333.77,-47.53,178.94,-71.08,173.46
00:03.1,1336.16,-48.3,181.19,-70.97,170.04
00:03.2,1338.5,-49.05,183.41,-70.85,166.7
00:03.2,1340.79,-49.8,185.58,-70.77,163.44
00:03.3,1343.04,-50.53,187.7,-70.72,160.16
00:03.3,1345.24,-51.25,189.78,-70.62,156.93
00:03.4,1347.4,-51.96,191.82,-70.46,153.79
00:03.4,1349.51,-52.67,193.81,-70.29,150.61
00:03.5,1351.58,-53.36,195.76,-70.1,147.47
00:03.5,1353.6,-54.05,197.67,-69.89,144.41
00:03.6,1355.59,-54.72,199.54,-69.63,141.41
00:03.6,1357.53,-55.4,201.36,-69.3,138.51
00:03.7,1359.44,-56.07,203.14,-68.78,135.79
00:03.7,1361.31,-56.74,204.88,-68.12,133.01
00:03.8,1363.13,-57.41,206.58,-67.39,130.31
00:03.8,1364.93,-58.09,208.24,-66.55,127.85
00:03.9,1366.69,-58.78,209.86,-65.82,125.58
00:03.9,1368.42,-59.47,211.45,-65.05,123.59
00:04.0,1370.12,-60.18,213,-64.12,121.66
00:04.0,1371.8,-60.9,214.51,-63.15,119.77
00:04.0,1373.45,-61.64,215.99,-62.12,117.75
00:04.1,1375.07,-62.39,217.42,-61.06,115.8
00:04.2,1376.66,-63.15,218.83,-60.02,113.86
00:04.2,1378.23,-63.92,220.19,-58.87,112.07
00:04.3,1379.77,-64.71,221.52,-57.6,110.29
00:04.3,1381.29,-65.51,222.81,-56.33,108.62
00:04.4,1382.79,-66.33,224.06,-54.98,107.14
00:04.4,1384.27,-67.17,225.28,-53.65,105.69
00:04.5,1385.73,-68.02,226.47,-52.32,104.3
00:04.5,1387.16,-68.89,227.61,-50.92,102.91
00:04.6,1388.58,-69.77,228.72,-49.46,101.53
00:04.6,1389.98,-70.67,229.8,-47.94,100.12
00:04.7,1391.36,-71.58,230.83,-46.42,98.78
00:04.7,1392.73,-72.51,231.83,-44.9,97.64
00:04.8,1394.08,-73.45,232.8,-43.42,96.63
00:04.8,1395.41,-74.41,233.73,-41.94,95.75
00:04.9,1396.74,-75.39,234.62,-40.4,95.02
00:04.9,1398.05,-76.39,235.48,-38.79,94.32
00:05.0,1399.36,-77.4,236.3,-37.07,93.72
00:05.0,1400.65,-78.43,237.09,-35.27,93.2
00:05.1,1401.95,-79.48,237.84,-33.44,92.71
00:05.1,1403.23,-80.55,238.56,-31.53,92.24
00:05.2,1404.51,-81.63,239.24,-29.64,91.78
00:05.2,1405.78,-82.73,239.87,-27.83,91.26
00:05.2,1407.05,-83.85,240.46,-25.68,90.72
00:05.3,1408.3,-84.97,241.02,-23.33,90.33
00:05.3,1409.56,-86.12,241.53,-21.49,89.99
00:05.4,1410.8,-87.27,242.01,-19.85,89.67
00:05.5,1412.04,-88.43,242.45,-17.63,89.47
00:05.5,1413.29,-89.61,242.85,-15.34,89.48
00:05.6,1414.53,-90.79,243.22,-13.58,89.34
00:05.6,1415.76,-91.99,243.55,-12,89.22
00:05.7,1417,-93.19,243.85,-10.33,89.1
00:05.7,1418.24,-94.4,244.12,-8.51,89.11
00:05.8,1419.48,-95.61,244.35,-6.85,89.2
00:05.8,1420.71,-96.84,244.53,-5.36,89.27
00:05.8,1421.96,-98.07,244.67,-3.99,89.57
00:05.9,1423.2,-99.32,244.76,-2.9,89.91
00:05.9,1424.45,-100.56,244.82,-1.63,90.38
00:06.0,1425.71,-101.82,244.86,-0.1,90.92
00:06.0,1426.98,-103.09,244.87,1.57,91.46
00:06.1,1428.25,-104.36,244.85,3.26,92.11
00:06.2,1429.53,-105.64,244.8,4.5,92.57
00:06.2,1430.82,-106.93,244.71,4.93,92.35
00:06.2,1432.1,-108.2,244.62,4.67,91.84
00:06.3,1433.37,-109.47,244.54,3.87,91.17
00:06.4,1434.63,-110.73,244.47,2.64,90.46
00:06.4,1435.88,-111.98,244.43,1.06,89.71
00:06.4,1437.12,-113.22,244.42,-0.74,88.9
00:06.5,1438.35,-114.45,244.44,-2.6,87.96
00:06.6,1439.56,-115.66,244.49,-4.41,86.88
00:06.6,1440.76,-116.86,244.57,-6.21,85.8
00:06.7,1441.95,-118.04,244.69,-7.92,84.72
00:06.7,1443.11,-119.2,244.84,-9.54,83.66
00:06.8,1444.27,-120.34,245.03,-11.16,82.63
00:06.8,1445.41,-121.45,245.24,-12.81,81.58
00:06.8,1446.54,-122.55,245.49,-14.39,80.58
00:06.9,1447.65,-123.63,245.76,-15.94,79.61
00:07.0,1448.75,-124.69,246.07,-17.73,78.67
00:07.0,1449.84,-125.72,246.41,-19.81,77.93
00:07.0,1450.92,-126.73,246.77,-21.82,77.36
00:07.1,1451.99,-127.73,247.17,-23.45,76.83
00:07.1,1453.05,-128.7,247.59,-25.1,76.31
00:07.2,1454.11,-129.66,248.04,-27.23,75.89
00:07.3,1455.16,-130.59,248.53,-29.69,75.66
00:07.3,1456.21,-131.51,249.04,-32.03,75.59
00:07.3,1457.26,-132.41,249.58,-34.11,75.54
00:07.4,1458.31,-133.29,250.15,-35.98,75.64
00:07.5,1459.36,-134.15,250.76,-37.62,75.82
00:07.5,1460.41,-134.98,251.4,-39.14,76.06
00:07.5,1461.47,-135.8,252.07,-40.75,76.43
00:07.6,1462.54,-136.6,252.78,-42.33,76.83
00:07.6,1463.61,-137.39,253.5,-43.92,77.32
00:07.7,1464.69,-138.16,254.26,-45.75,77.9
00:07.8,1465.77,-138.91,255.04,-47.82,78.38
00:07.8,1466.87,-139.65,255.85,-50.02,78.89
00:07.8,1467.97,-140.35,256.69,-52.25,79.39
00:07.9,1469.08,-141.03,257.57,-54.37,80.16
00:08.0,1470.2,-141.67,258.48,-56.1,80.89
00:08.0,1471.33,-142.29,259.42,-57.83,81.69
00:08.1,1472.47,-142.9,260.39,-59.62,82.44
00:08.1,1473.62,-143.48,261.38,-61.47,83.13
00:08.1,1474.78,-144.04,262.4,-63.49,83.86
00:08.2,1475.95,-144.56,263.44,-65.51,84.65
00:08.3,1477.13,-145.06,264.51,-67.34,85.44
00:08.3,1478.32,-145.52,265.61,-69.05,86.21
00:08.3,1479.53,-145.95,266.73,-70.78,87.03
00:08.4,1480.74,-146.35,267.88,-72.46,87.88
00:08.4,1481.97,-146.73,269.05,-74.05,88.73
00:08.5,1483.21,-147.07,270.24,-75.62,89.59
00:08.6,1484.46,-147.39,271.45,-77.19,90.48
00:08.6,1485.72,-147.67,272.68,-78.78,91.41
00:08.7,1487,-147.93,273.93,-80.4,92.36
00:08.7,1488.29,-148.15,275.2,-82,93.35
00:08.8,1489.59,-148.34,276.49,-83.58,94.34
00:08.8,1490.91,-148.5,277.79,-85.11,95.38
00:08.8,1492.24,-148.63,279.12,-86.51,96.45
00:08.9,1493.58,-148.73,280.46,-87.87,97.48
00:08.9,1494.94,-148.79,281.82,-89.34,98.51
00:09.0,1496.32,-148.83,283.2,-90.85,99.59
00:09.0,1497.71,-148.83,284.59,-92.29,100.67
00:09.1,1499.11,-148.81,285.99,-93.63,101.73
00:09.2,1500.53,-148.75,287.41,-94.87,102.8
00:09.2,1501.97,-148.67,288.84,-95.96,103.91
00:09.3,1503.42,-148.55,290.29,-96.89,105.1
00:09.3,1504.89,-148.41,291.75,-97.71,106.35
00:09.3,1506.37,-148.23,293.23,-98.58,107.59
00:09.4,1507.87,-148.04,294.72,-99.44,108.84
00:09.5,1509.39,-147.81,296.22,-100.22,110.16
00:09.5,1510.93,-147.56,297.74,-101.05,111.48
00:09.6,1512.49,-147.28,299.27,-101.95,112.8
