,sLapDistance,xCarX,xCarY,aYaw,vCar
00:00.0,797.12,2.14,0.39,169.58,214.85
00:00.1,800.1,5.08,-0.12,169.41,215.39
00:00.1,803.1,8.03,-0.65,169.48,215.99
00:00.2,806.1,10.99,-1.18,169.41,216.64
00:00.2,809.12,13.95,-1.72,169.06,217.3
00:00.3,812.14,16.92,-2.27,168.79,217.9
00:00.3,815.17,19.9,-2.84,168.68,218.5
00:00.4,818.21,22.89,-3.41,168.72,219.1
00:00.4,821.26,25.88,-3.98,168.86,219.74
00:00.5,824.31,28.88,-4.56,169.04,220.31
00:00.5,827.37,31.89,-5.14,169.24,220.86
00:00.6,830.45,34.9,-5.72,169.48,221.45
00:00.6,833.53,37.93,-6.29,169.72,222.04
00:00.7,836.61,40.97,-6.86,169.94,222.59
00:00.7,839.71,44.01,-7.41,170.2,223.12
00:00.8,842.81,47.06,-7.96,170.46,223.73
00:00.8,845.92,50.13,-8.5,170.6,224.28
00:00.9,849.04,53.2,-9.03,170.69,224.82
00:00.9,852.17,56.28,-9.55,170.82,225.36
00:01.0,855.3,59.38,-10.07,171,225.91
00:01.0,858.44,62.48,-10.57,171.2,226.47
00:01.1,861.59,65.59,-11.07,171.39,227.01
00:01.1,864.75,68.7,-11.56,171.58,227.53
00:01.2,867.91,71.83,-12.04,171.8,228.07
00:01.2,871.08,74.97,-12.51,171.99,228.6
00:01.3,874.26,78.11,-12.97,172.19,229.12
00:01.3,877.45,81.27,-13.43,172.4,229.64
00:01.4,880.64,84.43,-13.87,172.63,230.17
00:01.4,883.84,87.6,-14.3,172.84,230.67
00:01.5,887.05,90.78,-14.72,173.05,231.19
00:01.5,890.26,93.97,-15.13,173.25,231.7
00:01.6,893.48,97.16,-15.53,173.43,232.21
00:01.6,896.71,100.37,-15.92,173.6,232.71
00:01.7,899.95,103.58,-16.3,173.76,233.19
00:01.7,903.19,106.8,-16.67,173.94,233.7
00:01.8,906.44,110.03,-17.04,174.07,234.21
00:01.8,909.69,113.27,-17.39,174.13,234.71
00:01.9,912.96,116.51,-17.74,174.14,235.2
00:01.9,916.23,119.76,-18.09,174.14,235.67
00:02.0,919.5,123.02,-18.43,174.15,236.17
00:02.0,922.79,126.29,-18.77,174.18,236.63
00:02.0,926.08,129.56,-19.11,174.22,237.13
00:02.1,929.37,132.84,-19.45,174.26,237.64
00:02.2,932.68,136.13,-19.79,174.23,238.13
00:02.2,935.99,139.42,-20.13,174.14,238.61
00:02.3,939.31,142.72,-20.47,174.03,239.06
00:02.3,942.63,146.03,-20.81,173.93,239.54
00:02.4,945.96,149.34,-21.16,173.81,240.01
00:02.4,949.3,152.66,-21.51,173.67,240.46
00:02.5,952.64,155.98,-21.87,173.48,240.92
00:02.5,955.99,159.31,-22.24,173.29,241.4
00:02.6,959.34,162.64,-22.62,173.18,241.83
00:02.6,962.71,165.98,-23.01,173.11,242.29
00:02.7,966.07,169.33,-23.4,173.08,242.72
00:02.7,969.45,172.68,-23.8,173,243.19
00:02.8,972.83,176.03,-24.2,172.86,243.65
00:02.8,976.22,179.4,-24.61,172.73,244.06
00:02.9,979.61,182.76,-25.03,172.66,244.52
00:02.9,983.01,186.14,-25.45,172.69,244.99
00:03.0,986.41,189.51,-25.88,172.73,245.42
00:03.0,989.83,192.9,-26.31,172.71,245.85
00:03.1,993.24,196.29,-26.74,172.65,246.29
00:03.1,996.67,199.69,-27.18,172.61,246.71
00:03.2,1000.1,203.09,-27.61,172.58,247.15
00:03.2,1003.53,206.49,-28.06,172.58,247.57
00:03.3,1006.97,209.91,-28.5,172.57,247.97
00:03.3,1010.42,213.33,-28.94,172.55,248.42
00:03.4,1013.87,216.75,-29.39,172.55,248.83
00:03.4,1017.33,220.18,-29.84,172.55,249.24
00:03.5,1020.8,223.61,-30.29,172.56,249.59
00:03.5,1024.26,227.05,-30.73,172.62,249.86
00:03.6,1027.74,230.5,-31.18,172.68,250.23
00:03.6,1031.22,233.95,-31.63,172.73,250.45
00:03.7,1034.69,237.39,-32.08,172.72,249.02
00:03.7,1038.12,240.8,-32.52,172.72,246.28
00:03.8,1041.53,244.17,-32.95,172.7,243.37
00:03.8,1044.89,247.51,-33.39,172.63,240.87
00:03.9,1048.21,250.81,-33.81,172.6,238.32
00:03.9,1051.5,254.07,-34.23,172.52,234.83
00:04.0,1054.74,257.27,-34.65,172.42,230.83
00:04.0,1057.92,260.43,-35.07,172.38,227.38
00:04.0,1061.05,263.54,-35.48,172.33,224.14
00:04.1,1064.14,266.6,-35.89,172.29,221.07
00:04.2,1067.19,269.62,-36.29,172.29,218.18
00:04.2,1070.2,272.61,-36.69,172.24,215.17
00:04.3,1073.17,275.55,-37.09,172.17,212.01
00:04.3,1076.09,278.44,-37.48,172.11,208.83
00:04.4,1078.97,281.3,-37.87,172.11,205.75
00:04.4,1081.81,284.11,-38.26,172.15,202.82
00:04.5,1084.61,286.88,-38.64,172.21,199.69
00:04.5,1087.36,289.6,-39.01,172.23,196.37
00:04.6,1090.06,292.28,-39.38,172.2,193.18
00:04.6,1092.72,294.92,-39.74,172.12,190.38
00:04.7,1095.35,297.52,-40.1,172.05,187.81
00:04.7,1097.94,300.09,-40.46,171.98,185.19
00:04.8,1100.49,302.62,-40.81,171.91,182.29
00:04.8,1103,305.1,-41.16,171.88,178.96
00:04.9,1105.47,307.54,-41.5,171.84,175.58
00:04.9,1107.88,309.93,-41.84,171.82,172.54
00:05.0,1110.26,312.28,-42.18,171.78,169.64
00:05.0,1112.6,314.6,-42.52,171.68,166.94
00:05.1,1114.9,316.87,-42.85,171.53,164.28
00:05.1,1117.16,319.11,-43.18,171.25,161.59
00:05.2,1119.38,321.31,-43.51,170.97,158.69
00:05.2,1121.57,323.47,-43.84,170.73,155.94
00:05.2,1123.72,325.59,-44.18,170.25,153.5
00:05.3,1125.83,327.68,-44.53,169.59,151.13
00:05.3,1127.92,329.73,-44.89,168.94,148.83
00:05.4,1129.97,331.75,-45.27,168.47,146.87
00:05.5,1132,333.74,-45.66,167.83,144.92
00:05.5,1133.99,335.69,-46.07,166.7,143.03
00:05.6,1135.97,337.62,-46.5,165.38,141.24
00:05.6,1137.92,339.51,-46.96,164.11,139.56
00:05.7,1139.84,341.38,-47.44,162.99,138
00:05.7,1141.75,343.22,-47.96,161.94,136.59
00:05.8,1143.64,345.03,-48.5,160.75,135.44
00:05.8,1145.51,346.81,-49.07,159.75,134.57
00:05.8,1147.37,348.58,-49.67,159.23,133.74
00:05.9,1149.22,350.32,-50.29,158.11,132.92
00:05.9,1151.07,352.04,-50.94,156.25,132.11
00:06.0,1152.89,353.74,-51.63,154.63,131.34
00:06.0,1154.71,355.41,-52.35,153.46,130.56
00:06.1,1156.52,357.05,-53.1,152.25,129.82
00:06.2,1158.31,358.67,-53.89,150.96,129.18
00:06.2,1160.1,360.26,-54.7,149.73,128.69
00:06.2,1161.89,361.83,-55.55,148.43,128.33
00:06.3,1163.67,363.38,-56.43,147.11,128.05
00:06.4,1165.44,364.91,-57.34,145.9,127.89
00:06.4,1167.22,366.41,-58.29,144.88,127.72
00:06.4,1168.99,367.89,-59.27,143.98,127.55
00:06.5,1170.76,369.34,-60.27,143.1,127.44
00:06.6,1172.53,370.78,-61.31,142.27,127.37
00:06.6,1174.29,372.2,-62.36,141.1,127.25
