,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:00.0,2.31,3.27,2.98,168.81,218.66,,,
00:00.1,5.34,6.26,2.45,168.5,218.48,,,
00:00.1,8.37,9.24,1.9,168.63,218.12,,,
00:00.2,11.4,12.22,1.34,168.88,217.86,,,
00:00.2,14.43,15.19,0.77,168.97,217.63,,,
00:00.3,17.45,18.15,0.2,168.88,217.39,,,
00:00.3,20.46,21.12,-0.38,168.73,217.15,,,
00:00.4,23.48,24.07,-0.96,168.5,216.9,,,
00:00.4,26.49,27.03,-1.55,168.36,216.63,,,
00:00.5,29.5,29.97,-2.14,168.36,216.36,,,
00:00.5,32.5,32.92,-2.74,168.32,216.06,,,
00:00.6,35.5,35.85,-3.35,168.51,215.76,,,
00:00.6,38.49,38.79,-3.95,168.93,215.55,,,
00:00.7,41.48,41.72,-4.54,169.31,215.33,,,
00:00.7,44.47,44.65,-5.13,169.63,215.12,,,
00:00.8,47.46,47.58,-5.7,170.03,214.86,,,
00:00.8,50.44,50.51,-6.25,170.33,214.6,,,
00:00.9,53.42,53.44,-6.79,170.33,214.36,,,
00:00.9,56.4,56.37,-7.32,170.35,214.06,,,
00:01.0,59.37,59.3,-7.83,170.3,213.75,,,
00:01.0,62.33,62.22,-8.34,170.28,213.39,,,
00:01.1,65.29,65.14,-8.84,170.44,213.07,,,
00:01.1,68.25,68.05,-9.34,170.61,212.87,,,
00:01.2,71.21,70.97,-9.84,170.5,212.69,,,
00:01.2,74.16,73.88,-10.33,170.13,212.49,,,
00:01.3,77.11,76.78,-10.82,169.9,212.28,,,
00:01.3,80.06,79.69,-11.32,170.02,212.05,,,
00:01.4,83,82.59,-11.82,170.36,211.82,,,
00:01.4,85.94,85.49,-12.31,170.7,211.59,,,
00:01.5,88.88,88.39,-12.8,170.81,211.33,,,
00:01.5,91.81,91.28,-13.28,170.73,211.09,,,
00:01.6,94.74,94.17,-13.76,170.67,210.87,,,
00:01.6,97.67,97.06,-14.24,170.71,210.64,,,
00:01.7,100.59,99.94,-14.71,170.8,210.42,,,
00:01.7,103.51,102.83,-15.18,170.9,210.19,,,
00:01.8,106.43,105.71,-15.65,171.07,209.96,,,
00:01.8,109.34,108.58,-16.11,171.22,209.71,,,
00:01.9,112.26,111.46,-16.56,171.33,209.45,,,
00:01.9,115.16,114.33,-17.01,171.43,209.21,,,
00:02.0,118.07,117.2,-17.45,171.53,208.96,,,
00:02.0,120.97,120.07,-17.89,171.63,208.72,,,
00:02.0,123.86,122.94,-18.32,171.74,208.48,,,
00:02.1,126.76,125.8,-18.74,171.87,208.26,,,
00:02.2,129.65,128.66,-19.16,172.02,208.02,,,
00:02.2,132.54,131.52,-19.57,172.13,207.78,,,
00:02.3,135.42,134.37,-19.98,172.18,207.54,,,
00:02.3,138.3,137.22,-20.38,172.19,207.3,,,
00:02.4,141.18,140.07,-20.78,172.18,207.07,,,
00:02.4,144.05,142.92,-21.17,172.19,206.84,,,
00:02.5,146.93,145.77,-21.57,172.19,206.61,,,
00:02.5,149.79,148.61,-21.96,172.2,206.38,,,
00:02.6,152.66,151.44,-22.35,172.22,206.15,,,
00:02.6,155.52,154.28,-22.74,172.25,205.93,,,
00:02.7,158.38,157.11,-23.13,172.28,205.69,,,
00:02.7,161.23,159.94,-23.51,172.29,205.45,,,
00:02.8,164.09,162.77,-23.9,172.3,205.21,,,
00:02.8,166.93,165.59,-24.28,172.32,204.98,,,
00:02.9,169.78,168.41,-24.67,172.34,204.77,,,
00:02.9,172.62,171.22,-25.05,172.37,204.55,,,
00:03.0,175.46,174.04,-25.43,172.4,204.33,,,
