,sLapDistance,xCarX,xCarY,aYaw,vCar
00:00.0,1.46,-3.98,13.99,26.82,218.82
00:00.1,4.5,-6.69,12.61,26.82,219.35
00:00.1,7.55,-9.41,11.23,26.84,219.88
00:00.2,10.61,-12.14,9.85,26.87,220.44
00:00.2,13.67,-14.87,8.46,26.91,220.95
00:00.3,16.75,-17.61,7.07,26.95,221.49
00:00.3,19.83,-20.36,5.67,27,222.01
00:00.4,22.91,-23.11,4.27,27.03,222.51
00:00.4,26.01,-25.86,2.86,27.06,223.02
00:00.5,29.11,-28.62,1.45,27.1,223.52
00:00.5,32.22,-31.39,0.03,27.13,224.03
00:00.6,35.33,-34.16,-1.39,27.15,224.53
00:00.6,38.45,-36.94,-2.81,27.17,225.02
00:00.7,41.58,-39.72,-4.24,27.18,225.53
00:00.7,44.72,-42.51,-5.68,27.19,226.01
00:00.8,47.86,-45.31,-7.11,27.2,226.5
00:00.8,51.01,-48.11,-8.55,27.21,226.98
00:00.9,54.16,-50.91,-10,27.19,227.45
00:00.9,57.33,-53.72,-11.45,27.14,227.93
00:01.0,60.5,-56.54,-12.9,27.08,228.4
00:01.0,63.67,-59.37,-14.35,27.02,228.88
00:01.1,66.85,-62.2,-15.8,26.96,229.32
00:01.1,70.04,-65.04,-17.25,26.9,229.78
00:01.2,73.24,-67.88,-18.7,26.85,230.24
00:01.2,76.44,-70.74,-20.15,26.79,230.71
00:01.3,79.64,-73.59,-21.61,26.73,231.15
00:01.3,82.86,-76.46,-23.06,26.68,231.61
00:01.4,86.08,-79.33,-24.51,26.66,232.05
00:01.4,89.3,-82.21,-25.97,26.66,232.49
00:01.5,92.54,-85.1,-27.42,26.69,232.92
00:01.5,95.77,-87.99,-28.88,26.72,233.38
00:01.6,99.02,-90.89,-30.34,26.74,233.79
00:01.6,102.27,-93.79,-31.81,26.75,234.24
00:01.7,105.53,-96.7,-33.27,26.75,234.67
00:01.7,108.79,-99.61,-34.75,26.73,235.06
00:01.8,112.06,-102.52,-36.22,26.71,235.52
00:01.8,115.33,-105.45,-37.69,26.7,235.93
00:01.9,118.61,-108.37,-39.17,26.69,236.35
00:01.9,121.89,-111.31,-40.65,26.69,236.74
00:02.0,125.19,-114.25,-42.13,26.71,237.18
00:02.0,128.48,-117.19,-43.62,26.72,237.59
00:02.0,131.78,-120.14,-45.11,26.71,237.97
00:02.1,135.09,-123.09,-46.6,26.69,238.4
00:02.2,138.41,-126.05,-48.09,26.67,238.78
00:02.2,141.73,-129.02,-49.58,26.63,239.17
00:02.3,145.05,-131.98,-51.08,26.58,239.17
00:02.3,148.36,-134.95,-52.56,26.54,238
00:02.4,151.66,-137.89,-54.04,26.54,236.07
00:02.4,154.92,-140.8,-55.51,26.53,233.76
00:02.5,158.15,-143.69,-56.95,26.49,231.04
00:02.5,161.33,-146.54,-58.38,26.45,227.64
00:02.6,164.47,-149.34,-59.79,26.44,223.84
00:02.6,167.55,-152.1,-61.17,26.5,220.09
00:02.7,170.58,-154.81,-62.53,26.53,216.43
00:02.7,173.56,-157.47,-63.86,26.55,212.69
00:02.8,176.49,-160.09,-65.17,26.55,208.76
00:02.8,179.36,-162.66,-66.46,26.59,205.13
00:02.9,182.19,-165.18,-67.73,26.63,201.44
00:02.9,184.96,-167.65,-68.98,26.62,197.48
00:03.0,187.67,-170.08,-70.2,26.62,193.49
00:03.0,190.33,-172.46,-71.39,26.66,189.67
00:03.1,192.94,-174.79,-72.57,26.71,185.91
00:03.1,195.5,-177.07,-73.72,26.77,182.2
00:03.2,198.01,-179.3,-74.85,26.83,178.78
00:03.2,200.46,-181.5,-75.97,26.89,175.44
00:03.3,202.88,-183.65,-77.06,27.04,172.05
00:03.3,205.24,-185.75,-78.14,27.32,168.51
00:03.4,207.56,-187.81,-79.2,27.82,164.9
00:03.4,209.83,-189.82,-80.26,28.5,161.63
00:03.5,212.05,-191.78,-81.31,29.14,158.63
00:03.5,214.24,-193.69,-82.36,29.5,155.79
00:03.6,216.38,-195.56,-83.4,29.97,153.11
00:03.6,218.49,-197.4,-84.45,30.85,150.61
00:03.7,220.56,-199.18,-85.5,31.89,148
00:03.7,222.6,-200.93,-86.55,32.99,145.56
00:03.8,224.61,-202.63,-87.62,33.98,143.27
