,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:00.0,1.43,-3.68,13.49,26.85,236.34,,,
00:00.1,4.71,-6.61,12,26.85,236.06,,,
00:00.1,7.98,-9.53,10.52,26.85,235.77,,,
00:00.2,11.26,-12.45,9.03,26.85,235.47,,,
00:00.2,14.53,-15.36,7.56,26.83,235.19,,,
00:00.3,17.79,-18.27,6.08,26.82,234.9,,,
00:00.3,21.05,-21.18,4.6,26.82,234.61,,,
00:00.4,24.31,-24.09,3.13,26.8,234.32,,,
00:00.4,27.56,-26.99,1.66,26.78,234.04,,,
00:00.5,30.81,-29.89,0.19,26.75,233.76,,,
00:00.5,34.05,-32.78,-1.27,26.72,233.48,,,
00:00.6,37.29,-35.67,-2.73,26.69,233.16,,,
00:00.6,40.53,-38.56,-4.19,26.66,232.81,,,
00:00.7,43.76,-41.45,-5.65,26.62,232.47,,,
00:00.7,46.99,-44.33,-7.1,26.61,232.13,,,
00:00.8,50.21,-47.21,-8.55,26.6,231.79,,,
00:00.8,53.43,-50.08,-9.99,26.61,231.45,,,
00:00.9,56.64,-52.95,-11.44,26.62,231.11,,,
00:00.9,59.85,-55.81,-12.88,26.63,230.76,,,
00:01.0,63.05,-58.68,-14.32,26.64,230.42,,,
00:01.0,66.25,-61.53,-15.75,26.64,230.09,,,
00:01.1,69.44,-64.39,-17.19,26.64,229.76,,,
00:01.1,72.63,-67.23,-18.62,26.64,229.42,,,
00:01.2,75.81,-70.08,-20.05,26.64,229.08,,,
00:01.2,78.99,-72.92,-21.48,26.63,228.74,,,
00:01.3,82.17,-75.76,-22.91,26.63,228.4,,,
00:01.3,85.34,-78.59,-24.33,26.62,228.07,,,
00:01.4,88.5,-81.42,-25.75,26.62,227.75,,,
00:01.4,91.66,-84.24,-27.17,26.62,227.42,,,
00:01.5,94.82,-87.06,-28.59,26.62,227.09,,,
00:01.5,97.97,-89.88,-30.01,26.61,226.76,,,
00:01.6,101.12,-92.69,-31.42,26.59,226.42,,,
00:01.6,104.26,-95.5,-32.83,26.58,226.09,,,
00:01.7,107.4,-98.3,-34.24,26.55,225.77,,,
00:01.7,110.53,-101.1,-35.64,26.5,225.45,,,
00:01.8,113.66,-103.9,-37.04,26.45,225.11,,,
00:01.8,116.79,-106.69,-38.44,26.41,224.76,,,
00:01.9,119.9,-109.48,-39.83,26.36,224.31,,,
00:01.9,123.02,-112.27,-41.22,26.31,223.76,,,
00:02.0,126.12,-115.05,-42.6,26.27,223.1,,,
00:02.0,129.21,-117.82,-43.98,26.24,222.32,,,
00:02.0,132.29,-120.58,-45.35,26.21,221.49,,,
00:02.1,135.36,-123.33,-46.71,26.19,220.53,,,
00:02.2,138.42,-126.07,-48.06,26.17,219.54,,,
00:02.2,141.46,-128.8,-49.41,26.16,218.48,,,
00:02.3,144.49,-131.51,-50.75,26.16,217.33,,,
00:02.3,147.5,-134.21,-52.08,26.19,216.13,,,
00:02.4,150.49,-136.89,-53.41,26.26,214.9,,,
00:02.4,153.47,-139.56,-54.73,26.3,213.69,,,
00:02.5,156.43,-142.21,-56.04,26.31,212.41,,,
00:02.5,159.37,-144.85,-57.35,26.3,211.07,,,
00:02.6,162.29,-147.47,-58.64,26.29,209.58,,,
00:02.6,165.19,-150.07,-59.93,26.29,208.2,,,
00:02.7,168.07,-152.65,-61.21,26.3,206.77,,,
00:02.7,170.93,-155.21,-62.48,26.34,205.29,,,
00:02.8,173.77,-157.76,-63.75,26.39,203.67,,,
00:02.8,176.59,-160.28,-65,26.44,201.87,,,
00:02.9,179.38,-162.78,-66.25,26.48,200.02,,,
00:02.9,182.15,-165.25,-67.48,26.48,198.06,,,
00:03.0,184.88,-167.7,-68.7,26.47,196.01,,,
00:03.0,187.59,-170.12,-69.91,26.51,193.96,,,
00:03.1,190.27,-172.52,-71.11,26.6,191.93,,,
00:03.1,192.92,-174.89,-72.3,26.72,189.94,,,
00:03.2,195.55,-177.23,-73.49,26.9,187.92,,,
00:03.2,198.14,-179.54,-74.66,27.17,185.98,,,
00:03.3,200.71,-181.83,-75.83,27.61,184.04,,,
00:03.3,203.26,-184.08,-77.01,28.18,182.09,,,
00:03.4,205.77,-186.31,-78.19,28.84,180.17,,,
00:03.4,208.26,-188.5,-79.37,29.52,178.22,,,
00:03.5,210.72,-190.65,-80.57,30.25,176.31,,,
00:03.5,213.16,-192.76,-81.78,31.03,174.44,,,
00:03.6,215.57,-194.84,-83,31.76,172.7,,,
00:03.6,217.96,-196.88,-84.24,32.63,171.02,,,
00:03.7,220.32,-198.89,-85.49,33.75,169.34,,,
00:03.7,222.66,-200.86,-86.75,34.94,167.72,,,
00:03.8,224.98,-202.78,-88.04,36.05,166.17,,,
00:03.8,227.27,-204.67,-89.34,37.25,164.64,,,
00:03.9,229.55,-206.52,-90.67,38.44,163.31,,,
00:03.9,231.81,-208.33,-92.03,39.4,162.13,,,
00:04.0,234.05,-210.11,-93.4,40.42,160.96,,,
00:04.0,236.28,-211.84,-94.79,41.47,159.84,,,
00:04.0,238.49,-213.55,-96.21,42.54,158.7,,,
00:04.1,240.68,-215.21,-97.64,43.76,157.53,,,
00:04.2,242.86,-216.83,-99.09,45,156.36,,,
00:04.2,245.02,-218.42,-100.57,46.21,155.21,,,
00:04.3,247.17,-219.96,-102.06,47.33,154.1,,,
00:04.3,249.3,-221.47,-103.57,48.5,153.17,,,
00:04.4,251.42,-222.94,-105.1,49.64,152.52,,,
00:04.4,253.53,-224.38,-106.65,50.8,152.08,,,
00:04.5,255.64,-225.78,-108.23,52,151.69,,,
00:04.5,257.74,-227.15,-109.82,53.1,151.33,,,
