,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:00.0,1.23,-251.01,-249.58,-80.89,214.32,,,
00:00.1,4.21,-251.51,-246.64,-81.14,214.73,,,
00:00.1,7.2,-251.99,-243.69,-81.47,215.25,,,
00:00.2,10.19,-252.45,-240.74,-81.77,215.83,,,
00:00.2,13.19,-252.9,-237.77,-82.01,216.33,,,
00:00.3,16.2,-253.34,-234.79,-82.29,216.92,,,
00:00.3,19.22,-253.77,-231.81,-82.56,217.43,,,
00:00.4,22.24,-254.18,-228.81,-82.81,217.96,,,
00:00.4,25.27,-254.58,-225.81,-83.04,218.48,,,
00:00.5,28.31,-254.96,-222.79,-83.31,218.96,,,
00:00.5,31.36,-255.34,-219.77,-83.68,219.51,,,
00:00.6,34.41,-255.69,-216.74,-84,220.03,,,
00:00.6,37.47,-256.04,-213.7,-84.26,220.51,,,
00:00.7,40.53,-256.36,-210.65,-84.56,221.02,,,
00:00.7,43.6,-256.67,-207.6,-85.02,221.43,,,
00:00.8,46.68,-256.96,-204.53,-85.74,221.98,,,
00:00.8,49.77,-257.23,-201.46,-86.43,222.43,,,
00:00.9,52.86,-257.46,-198.37,-87.1,222.85,,,
00:00.9,55.96,-257.67,-195.28,-87.8,223.32,,,
00:01.0,59.07,-257.84,-192.18,-88.37,223.75,,,
00:01.0,62.18,-257.98,-189.07,-88.76,224.16,,,
00:01.1,65.29,-258.1,-185.96,-89.27,224.54,,,
00:01.1,68.41,-258.18,-182.84,-89.94,225.02,,,
00:01.2,71.54,-258.25,-179.71,-90.56,225.42,,,
00:01.2,74.67,-258.27,-176.58,-91.38,225.82,,,
00:01.3,77.81,-258.27,-173.44,-92.21,226.24,,,
00:01.3,80.96,-258.22,-170.29,-92.75,226.61,,,
00:01.4,84.11,-258.13,-167.15,-93.16,226.98,,,
00:01.4,87.26,-258.01,-163.99,-93.75,227.38,,,
00:01.5,90.42,-257.87,-160.84,-94.4,227.81,,,
00:01.5,93.59,-257.69,-157.67,-94.96,228.2,,,
00:01.6,96.76,-257.48,-154.51,-95.54,228.59,,,
00:01.6,99.93,-257.23,-151.34,-96.08,228.44,,,
00:01.7,103.09,-256.96,-148.19,-96.43,226.72,,,
00:01.7,106.22,-256.66,-145.08,-96.74,224.05,,,
00:01.8,109.31,-256.34,-142,-97.16,220.96,,,
00:01.8,112.36,-256.01,-138.97,-97.52,217.49,,,
00:01.9,115.36,-255.66,-136,-97.67,213.99,,,
00:01.9,118.31,-255.29,-133.07,-97.71,210.51,,,
00:02.0,121.21,-254.92,-130.2,-97.83,207.05,,,
00:02.0,124.06,-254.55,-127.37,-97.98,203.54,,,
00:02.0,126.86,-254.17,-124.59,-98.17,199.95,,,
00:02.1,129.61,-253.78,-121.87,-98.39,196.14,,,
00:02.2,132.31,-253.4,-119.2,-98.54,192.29,,,
00:02.2,134.96,-253.01,-116.59,-98.66,188.43,,,
00:02.3,137.55,-252.63,-114.03,-98.85,184.6,,,
00:02.3,140.09,-252.24,-111.52,-99.04,180.92,,,
00:02.4,142.58,-251.85,-109.06,-99.25,177.2,,,
00:02.4,145.01,-251.47,-106.66,-99.49,173.55,,,
00:02.5,147.4,-251.08,-104.31,-99.6,170.05,,,
00:02.5,149.74,-250.7,-102,-99.62,166.66,,,
00:02.6,152.03,-250.32,-99.74,-99.63,163.46,,,
00:02.6,154.28,-249.95,-97.53,-99.68,160.17,,,
00:02.7,156.48,-249.58,-95.36,-99.76,156.73,,,
00:02.7,158.63,-249.22,-93.24,-99.83,153.22,,,
00:02.8,160.74,-248.86,-91.16,-99.89,149.99,,,
00:02.8,162.8,-248.51,-89.13,-99.93,146.94,,,
00:02.9,164.82,-248.16,-87.15,-99.94,143.99,,,
00:02.9,166.8,-247.82,-85.2,-99.94,141.05,,,
00:03.0,168.74,-247.48,-83.29,-99.91,138.19,,,
00:03.0,170.64,-247.16,-81.42,-99.92,135.4,,,
00:03.1,172.5,-246.83,-79.59,-99.93,132.75,,,
