,sLapDistance,xCarX,xCarY,aYaw,vCar
00:00.0,1.79,-250.83,-249.02,-81.11,258.17
00:00.1,5.38,-251.41,-245.47,-81.85,258.95
00:00.1,8.98,-251.96,-241.91,-82.59,259.72
00:00.2,12.59,-252.47,-238.34,-83.32,260.48
00:00.2,16.22,-252.95,-234.74,-83.94,261.22
00:00.3,19.85,-253.39,-231.14,-84.41,261.95
00:00.3,23.49,-253.79,-227.52,-84.95,262.7
00:00.4,27.15,-254.15,-223.88,-85.51,263.43
00:00.4,30.81,-254.48,-220.23,-86.09,264.17
00:00.5,34.48,-254.78,-216.57,-86.68,264.89
00:00.5,38.17,-255.04,-212.9,-87.22,265.59
00:00.6,41.86,-255.26,-209.21,-87.95,266.32
00:00.6,45.57,-255.45,-205.51,-88.57,267
00:00.7,49.28,-255.59,-201.8,-89.13,267.7
00:00.7,53,-255.7,-198.08,-89.77,268.39
00:00.8,56.73,-255.77,-194.35,-90.35,269.07
00:00.8,60.47,-255.8,-190.6,-90.93,269.75
00:00.9,64.22,-255.78,-186.85,-91.42,270.42
00:00.9,67.99,-255.74,-183.09,-91.87,271.11
00:01.0,71.76,-255.65,-179.32,-92.44,271.79
00:01.0,75.53,-255.54,-175.55,-93,272.35
00:01.1,79.31,-255.38,-171.77,-93.42,271
00:01.1,83.05,-255.2,-168.03,-93.42,267.99
00:01.2,86.75,-255.01,-164.34,-93.35,264.12
00:01.2,90.39,-254.8,-160.71,-93.59,259.95
00:01.3,93.97,-254.58,-157.14,-94.17,255.55
00:01.3,97.48,-254.36,-153.63,-94.76,250.57
00:01.4,100.93,-254.13,-150.19,-94.66,245.3
00:01.4,104.3,-253.88,-146.83,-94.3,240.69
00:01.5,107.61,-253.63,-143.53,-94.43,235.81
00:01.5,110.85,-253.38,-140.29,-94.78,231.07
00:01.6,114.03,-253.12,-137.13,-94.87,226.59
00:01.6,117.15,-252.86,-134.02,-94.91,222.08
00:01.7,120.2,-252.6,-130.98,-94.91,217.62
00:01.7,123.2,-252.34,-128,-94.98,213.24
00:01.8,126.13,-252.09,-125.08,-95.12,208.85
00:01.8,129,-251.83,-122.22,-95.25,204.3
00:01.9,131.81,-251.57,-119.43,-95.41,199.88
00:01.9,134.55,-251.31,-116.69,-95.64,195.57
00:02.0,137.24,-251.05,-114.02,-95.92,191.24
00:02.0,139.87,-250.78,-111.41,-96.08,187.05
00:02.0,142.44,-250.51,-108.86,-96.32,182.63
00:02.1,144.95,-250.23,-106.37,-96.55,178.38
00:02.2,147.4,-249.96,-103.94,-96.7,174.3
00:02.2,149.79,-249.68,-101.56,-96.94,170.92
00:02.3,152.15,-249.4,-99.22,-97.2,167.96
00:02.3,154.46,-249.12,-96.93,-97.27,164.63
00:02.4,156.72,-248.84,-94.69,-97.17,161
00:02.4,158.93,-248.56,-92.5,-97.41,157.31
00:02.5,161.09,-248.28,-90.36,-97.63,154.11
00:02.5,163.21,-248,-88.26,-97.82,151.25
00:02.6,165.29,-247.71,-86.2,-98.32,148.1
00:02.6,167.32,-247.43,-84.19,-98.8,144.64
00:02.7,169.31,-247.13,-82.23,-99.47,141.28
00:02.7,171.25,-246.82,-80.31,-99.8,138.34
00:02.8,173.15,-246.5,-78.44,-100.02,135.81
00:02.8,175.02,-246.18,-76.59,-100.95,133.44
00:02.9,176.86,-245.84,-74.79,-101.49,130.57
00:02.9,178.65,-245.5,-73.03,-101.81,127.54
00:03.0,180.41,-245.13,-71.32,-102.93,124.76
00:03.0,182.12,-244.75,-69.65,-104,121.91
00:03.1,183.79,-244.33,-68.03,-105.29,119.26
00:03.1,185.43,-243.9,-66.45,-106.15,116.82
00:03.2,187.04,-243.45,-64.91,-106.73,114.7
00:03.2,188.62,-242.99,-63.4,-107.71,112.78
00:03.3,190.17,-242.52,-61.92,-109.15,111.04
00:03.3,191.7,-242.03,-60.48,-110.66,109.33
00:03.4,193.21,-241.52,-59.06,-111.91,107.97
00:03.4,194.7,-240.98,-57.67,-113.36,106.87
00:03.5,196.18,-240.4,-56.31,-114.76,106.14
00:03.5,197.65,-239.8,-54.97,-116.02,105.61
00:03.6,199.11,-239.17,-53.65,-117.57,105.14
00:03.6,200.57,-238.51,-52.35,-119.21,104.65
00:03.7,202.02,-237.82,-51.07,-120.69,104.12
00:03.7,203.46,-237.1,-49.83,-122.21,103.59
00:03.8,204.89,-236.35,-48.61,-123.96,103.05
