,sLapDistance,xCarX,xCarY,vCar
00:00.0,2.49,-248.51,-248.08,257.79
00:00.1,6.07,-249.18,-244.56,258.58
00:00.1,9.67,-249.83,-241.02,259.37
00:00.2,13.28,-250.46,-237.47,260.15
00:00.2,16.89,-251.07,-233.9,260.92
00:00.3,20.52,-251.67,-230.32,261.68
00:00.3,24.16,-252.26,-226.73,262.44
00:00.4,27.81,-252.82,-223.12,263.18
00:00.4,31.47,-253.37,-219.5,263.92
00:00.5,35.14,-253.89,-215.87,264.64
00:00.5,38.82,-254.38,-212.22,265.35
00:00.6,42.51,-254.85,-208.56,266.05
00:00.6,46.21,-255.29,-204.89,266.74
00:00.7,49.92,-255.69,-201.2,267.4
00:00.7,53.64,-256.06,-197.5,268.07
00:00.8,57.37,-256.4,-193.79,268.73
00:00.8,61.11,-256.7,-190.06,269.35
00:00.9,64.85,-256.96,-186.33,269.96
00:00.9,68.6,-257.19,-182.58,270.03
00:01.0,72.34,-257.38,-178.85,268.26
00:01.0,76.04,-257.54,-175.15,265.14
00:01.1,79.7,-257.65,-171.49,261.53
00:01.1,83.31,-257.71,-167.88,257.99
00:01.2,86.86,-257.74,-164.33,254.23
00:01.2,90.37,-257.73,-160.82,250.59
00:01.3,93.82,-257.69,-157.37,247.02
00:01.3,97.23,-257.62,-153.96,243.45
00:01.4,100.58,-257.51,-150.6,239.88
00:01.4,103.89,-257.37,-147.3,236.3
00:01.5,107.15,-257.2,-144.05,232.72
00:01.5,110.35,-256.99,-140.85,229.07
00:01.6,113.51,-256.75,-137.7,225.33
00:01.6,116.61,-256.48,-134.61,221.52
00:01.7,119.66,-256.17,-131.58,217.69
00:01.7,122.66,-255.83,-128.6,213.84
00:01.8,125.61,-255.48,-125.68,210.05
00:01.8,128.5,-255.11,-122.81,206.21
00:01.9,131.34,-254.73,-120,202.28
00:01.9,134.12,-254.33,-117.24,198.46
00:02.0,136.85,-253.93,-114.55,194.69
00:02.0,139.53,-253.52,-111.9,191
00:02.0,142.16,-253.11,-109.31,187.35
00:02.1,144.73,-252.69,-106.77,183.66
00:02.2,147.26,-252.27,-104.28,180.09
00:02.2,149.74,-251.84,-101.84,176.62
00:02.3,152.17,-251.41,-99.45,173.22
00:02.3,154.55,-250.98,-97.11,169.79
00:02.4,156.88,-250.53,-94.82,166.13
00:02.4,159.16,-250.09,-92.58,162.45
00:02.5,161.4,-249.64,-90.4,158.91
00:02.5,163.58,-249.21,-88.26,155.51
00:02.6,165.72,-248.78,-86.17,152.14
00:02.6,167.81,-248.35,-84.12,148.69
00:02.7,169.85,-247.94,-82.13,145.28
00:02.7,171.84,-247.53,-80.18,141.87
00:02.8,173.79,-247.12,-78.27,138.68
00:02.8,175.69,-246.72,-76.41,135.43
00:02.9,177.55,-246.32,-74.6,132.2
00:02.9,179.37,-245.91,-72.83,128.93
00:03.0,181.14,-245.51,-71.11,125.81
00:03.0,182.86,-245.1,-69.44,122.97
00:03.1,184.56,-244.69,-67.8,120.25
00:03.1,186.21,-244.27,-66.2,117.86
00:03.2,187.83,-243.85,-64.64,115.75
00:03.2,189.42,-243.43,-63.1,113.75
00:03.3,190.99,-243.01,-61.59,111.98
00:03.3,192.53,-242.57,-60.11,110.24
00:03.4,194.05,-242.13,-58.66,108.07
00:03.4,195.53,-241.67,-57.25,105.74
00:03.5,196.98,-241.18,-55.89,103.53
00:03.5,198.4,-240.67,-54.56,101.55
00:03.6,199.8,-240.13,-53.27,99.87
