,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:00.0,1.66,401.94,23.52,1.86,179.77,,,
00:00.1,4.16,399.44,23.43,1.86,180.69,,,
00:00.1,6.68,396.92,23.35,1.86,181.57,,,
00:00.2,9.2,394.4,23.27,1.9,182.32,,,
00:00.2,11.74,391.86,23.19,1.96,183.12,,,
00:00.3,14.29,389.31,23.1,2.02,184,,,
00:00.3,16.85,386.75,23.01,2.06,184.9,,,
00:00.4,19.43,384.18,22.92,2.08,185.72,,,
00:00.4,22.01,381.6,22.83,2.07,186.52,,,
00:00.5,24.61,379,22.74,2.06,187.31,,,
00:00.5,27.22,376.4,22.65,2.05,188.09,,,
00:00.6,29.83,373.78,22.55,2.04,188.68,,,
00:00.6,32.46,371.16,22.46,2.03,189.52,,,
00:00.7,35.1,368.52,22.36,2.02,190.47,,,
00:00.7,37.75,365.87,22.27,2,191.21,,,
00:00.8,40.41,363.21,22.17,1.96,191.87,,,
00:00.8,43.08,360.55,22.08,1.9,192.56,,,
00:00.9,45.76,357.87,21.99,1.83,193.48,,,
00:00.9,48.45,355.18,21.9,1.8,194.2,,,
00:01.0,51.16,352.48,21.81,1.8,194.83,,,
00:01.0,53.87,349.77,21.72,1.81,195.49,,,
00:01.1,56.58,347.05,21.64,1.8,195.83,,,
00:01.1,59.3,344.33,21.55,1.74,195.99,,,
00:01.2,62.03,341.61,21.46,1.61,196.91,,,
00:01.2,64.78,338.86,21.38,1.45,198.18,,,
00:01.3,67.53,336.11,21.3,1.38,198.87,,,
00:01.3,70.3,333.34,21.23,1.34,199.5,,,
00:01.4,73.08,330.57,21.16,1.3,200.26,,,
00:01.4,75.86,327.78,21.09,1.29,200.94,,,
00:01.5,78.66,324.99,21.02,1.28,201.55,,,
00:01.5,81.46,322.18,20.96,1.26,202.29,,,
00:01.6,84.28,319.37,20.89,1.23,202.94,,,
00:01.6,87.1,316.55,20.83,1.22,203.61,,,
00:01.7,89.93,313.72,20.77,1.22,204.18,,,
00:01.7,92.77,310.88,20.71,1.22,204.92,,,
00:01.8,95.62,308.03,20.64,1.24,205.58,,,
00:01.8,98.48,305.17,20.58,1.26,206.08,,,
00:01.9,101.35,302.3,20.52,1.28,206.83,,,
00:01.9,104.22,299.43,20.45,1.31,207.04,,,
00:02.0,107.1,296.55,20.39,1.41,207.69,,,
00:02.0,109.99,293.66,20.32,1.54,208.69,,,
00:02.0,112.9,290.76,20.25,1.6,209.32,,,
00:02.1,115.81,287.85,20.17,1.63,209.91,,,
00:02.2,118.73,284.93,20.09,1.68,210.55,,,
00:02.2,121.66,282,20.01,1.72,211.13,,,
00:02.3,124.59,279.07,19.92,1.78,211.76,,,
00:02.3,127.54,276.12,19.83,1.85,212.35,,,
00:02.4,130.49,273.17,19.74,1.9,212.98,,,
00:02.4,133.45,270.21,19.65,1.92,213.48,,,
00:02.5,136.42,267.24,19.55,1.96,214.04,,,
00:02.5,139.4,264.27,19.45,2,214.75,,,
00:02.6,142.39,261.28,19.35,2.05,215.34,,,
00:02.6,145.38,258.29,19.24,2.07,215.91,,,
00:02.7,148.38,255.29,19.14,2.07,216.47,,,
00:02.7,151.39,252.28,19.03,2.04,217.06,,,
00:02.8,154.41,249.26,18.92,2,217.65,,,
00:02.8,157.44,246.24,18.82,2.02,218.2,,,
00:02.9,160.47,243.2,18.71,2.06,218.71,,,
00:02.9,163.51,240.16,18.6,2.11,219.3,,,
00:03.0,166.57,237.12,18.49,2.15,219.9,,,
00:03.0,169.62,234.06,18.38,2.17,220.4,,,
00:03.1,172.69,231,18.26,2.19,220.86,,,
00:03.1,175.76,227.93,18.14,2.21,221.5,,,
00:03.2,178.84,224.85,18.03,2.23,222.05,,,
00:03.2,181.93,221.77,17.91,2.2,222.6,,,
00:03.3,185.02,218.67,17.79,2.15,223.06,,,
00:03.3,188.12,215.57,17.67,2.13,223.64,,,
00:03.4,191.23,212.47,17.55,2.16,224.19,,,
00:03.4,194.35,209.35,17.43,2.17,224.54,,,
00:03.5,197.47,206.23,17.32,2.2,225.22,,,
00:03.5,200.6,203.1,17.2,2.21,225.69,,,
00:03.6,203.74,199.97,17.07,2.19,226.2,,,
00:03.6,206.89,196.82,16.95,2.19,226.67,,,
00:03.7,210.04,193.67,16.83,2.18,227.18,,,
00:03.7,213.2,190.52,16.71,2.17,227.73,,,
00:03.8,216.37,187.35,16.59,2.15,228.19,,,
00:03.8,219.54,184.18,16.47,2.1,228.66,,,
00:03.9,222.72,181.01,16.35,2.04,229.17,,,
00:03.9,225.91,177.82,16.23,1.96,229.64,,,
00:04.0,229.1,174.63,16.12,1.92,230.13,,,
00:04.0,232.29,171.44,16.01,1.9,230.3,,,
00:04.0,235.49,168.24,15.9,1.78,230.25,,,
00:04.1,238.69,165.04,15.79,1.61,231.2,,,
00:04.2,241.91,161.82,15.68,1.57,231.93,,,
00:04.2,245.14,158.6,15.58,1.64,232.39,,,
00:04.3,248.37,155.37,15.49,1.7,232.82,,,
00:04.3,251.6,152.14,15.39,1.71,233.28,,,
00:04.4,254.85,148.89,15.29,1.71,233.75,,,
00:04.4,258.1,145.65,15.19,1.71,234.21,,,
00:04.5,261.35,142.39,15.1,1.69,234.69,,,
00:04.5,264.62,139.13,15,1.68,235.12,,,
00:04.6,267.88,135.86,14.9,1.7,235.61,,,
00:04.6,271.16,132.59,14.81,1.74,235.97,,,
00:04.7,274.44,129.31,14.71,1.79,236.35,,,
00:04.7,277.73,126.02,14.61,1.82,236.93,,,
00:04.8,281.02,122.73,14.51,1.83,237.35,,,
00:04.8,284.32,119.44,14.4,1.82,237.77,,,
00:04.9,287.62,116.13,14.3,1.81,238.11,,,
00:04.9,290.93,112.82,14.2,1.83,238.66,,,
00:05.0,294.25,109.51,14.09,1.86,239.06,,,
00:05.0,297.57,106.19,13.99,1.95,239.46,,,
00:05.1,300.9,102.86,13.88,2.05,239.91,,,
00:05.1,304.24,99.53,13.76,2.18,240.36,,,
00:05.2,307.58,96.19,13.64,2.28,240.77,,,
00:05.2,310.93,92.84,13.52,2.32,241.12,,,
00:05.2,314.28,89.49,13.39,2.33,241.59,,,
00:05.3,317.64,86.14,13.26,2.28,242.01,,,
00:05.3,321,82.78,13.12,2.25,242.36,,,
00:05.4,324.37,79.41,12.99,2.28,242.76,,,
00:05.5,327.74,76.04,12.86,2.3,243.2,,,
00:05.5,331.12,72.66,12.72,2.26,243.59,,,
00:05.6,334.51,69.28,12.59,2.27,243.91,,,
00:05.6,337.9,65.89,12.45,2.3,244.39,,,
00:05.7,341.3,62.49,12.32,2.34,244.76,,,
00:05.7,344.7,59.1,12.18,2.38,245.14,,,
00:05.8,348.11,55.69,12.04,2.37,245.47,,,
00:05.8,351.52,52.28,11.9,2.38,245.91,,,
00:05.8,354.94,48.87,11.76,2.36,246.31,,,
00:05.9,358.36,45.45,11.61,2.35,246.62,,,
00:05.9,361.79,42.02,11.47,2.41,247.05,,,
00:06.0,365.22,38.59,11.33,2.47,247.42,,,
00:06.0,368.66,35.15,11.18,2.49,247.77,,,
00:06.1,372.11,31.71,11.03,2.51,248.13,,,
00:06.2,375.56,28.27,10.88,2.49,248.52,,,
00:06.2,379.01,24.82,10.73,2.47,248.87,,,
00:06.2,382.47,21.36,10.58,2.49,249.15,,,
00:06.3,385.93,17.9,10.43,2.59,249.57,,,
00:06.4,389.4,14.44,10.28,2.64,249.96,,,
00:06.4,392.87,10.97,10.12,2.61,250.28,,,
00:06.4,396.35,7.49,9.97,2.6,250.55,,,
00:06.5,399.83,4.01,9.81,2.64,251,,,
00:06.6,403.32,0.53,9.65,2.68,251.34,,,
00:06.6,406.82,-2.96,9.49,2.7,251.68,,,
00:06.7,410.31,-6.46,9.32,2.69,252.02,,,
00:06.7,413.82,-9.95,9.16,2.7,252.33,,,
00:06.8,417.32,-13.46,9,2.7,252.64,,,
00:06.8,420.83,-16.96,8.83,2.68,253,,,
00:06.8,424.35,-20.48,8.67,2.69,253.33,,,
00:06.9,427.87,-23.99,8.5,2.69,253.65,,,
00:07.0,431.4,-27.52,8.33,2.66,253.95,,,
00:07.0,434.93,-31.04,8.17,2.59,254.31,,,
00:07.0,438.46,-34.57,8.01,2.51,254.59,,,
00:07.1,442,-38.11,7.85,2.45,254.92,,,
00:07.1,445.54,-41.64,7.69,2.43,255.23,,,
00:07.2,449.09,-45.19,7.53,2.41,255.56,,,
00:07.3,452.64,-48.74,7.38,2.39,255.84,,,
00:07.3,456.19,-52.29,7.23,2.34,256.02,,,
00:07.3,459.75,-55.84,7.08,2.33,255.36,,,
00:07.4,463.28,-59.37,6.93,2.31,253.2,,,
00:07.5,466.78,-62.86,6.78,2.29,250.67,,,
00:07.5,470.23,-66.32,6.64,2.3,247.22,,,
00:07.5,473.64,-69.72,6.5,2.27,243.06,,,
00:07.6,476.99,-73.07,6.36,2.29,239.51,,,
00:07.6,480.29,-76.37,6.22,2.3,236.05,,,
00:07.7,483.54,-79.62,6.09,2.29,232.26,,,
00:07.8,486.75,-82.82,5.96,2.28,228.67,,,
00:07.8,489.9,-85.97,5.83,2.25,225.06,,,
00:07.8,493,-89.07,5.71,2.23,221.79,,,
00:07.9,496.05,-92.12,5.58,2.21,218.33,,,
00:08.0,499.06,-95.13,5.46,2.19,214.63,,,
00:08.0,502.02,-98.08,5.35,2.14,211.15,,,
00:08.1,504.93,-100.99,5.23,2.08,208.22,,,
00:08.1,507.8,-103.86,5.12,2.08,205.3,,,
00:08.1,510.63,-106.69,5.02,2.05,201.95,,,
00:08.2,513.41,-109.46,4.91,2.05,198.03,,,
00:08.3,516.14,-112.18,4.81,2,194.33,,,
00:08.3,518.81,-114.86,4.71,1.89,191.02,,,
00:08.3,521.44,-117.49,4.62,1.86,187.65,,,
00:08.4,524.02,-120.07,4.52,1.83,184.72,,,
00:08.4,526.57,-122.61,4.43,1.82,181.59,,,
00:08.5,529.07,-125.11,4.34,1.83,178.52,,,
00:08.6,531.53,-127.57,4.26,1.77,176,,,
00:08.6,533.96,-130,4.17,1.58,173.41,,,
00:08.7,536.35,-132.38,4.09,1.25,170.1,,,
00:08.7,538.68,-134.72,4.02,0.83,166.45,,,
00:08.8,540.97,-137.01,3.96,0.4,163.17,,,
00:08.8,543.22,-139.25,3.9,-0.25,160.51,,,
00:08.8,545.43,-141.46,3.86,-1,157.8,,,
00:08.9,547.6,-143.64,3.82,-1.49,155.07,,,
00:08.9,549.74,-145.77,3.8,-2.31,152.52,,,
00:09.0,551.83,-147.87,3.8,-3.3,149.6,,,
00:09.0,553.89,-149.93,3.82,-3.7,146.64,,,
00:09.1,555.91,-151.95,3.86,-3.86,144.3,,,
00:09.2,557.9,-153.93,3.91,-4.06,141.96,,,
00:09.2,559.85,-155.89,3.97,-4.03,139.65,,,
00:09.3,561.77,-157.81,4.05,-4.09,137.19,,,
00:09.3,563.66,-159.7,4.13,-4.73,134.73,,,
00:09.3,565.52,-161.54,4.24,-5.46,131.68,,,
00:09.4,567.32,-163.35,4.37,-5.98,128.93,,,
00:09.5,569.1,-165.12,4.52,-6.7,126.53,,,
00:09.5,570.84,-166.85,4.68,-7.57,124.29,,,
00:09.6,572.55,-168.55,4.86,-8.41,121.81,,,
00:09.6,574.22,-170.21,5.06,-9.4,119.24,,,
00:09.7,575.86,-171.83,5.29,-10.34,116.46,,,
00:09.7,577.46,-173.41,5.54,-11.04,113.77,,,
00:09.8,579.02,-174.95,5.8,-11.7,111.46,,,
00:09.8,580.55,-176.46,6.09,-12.22,109.34,,,
00:09.8,582.06,-177.94,6.38,-12.94,107.59,,,
00:09.9,583.54,-179.39,6.69,-14.09,105.84,,,
00:10.0,585,-180.81,7.02,-15.63,104.09,,,
00:10.0,586.43,-182.2,7.36,-17.24,102.36,,,
00:10.1,587.83,-183.56,7.72,-19.01,100.59,,,
00:10.1,589.22,-184.89,8.11,-21.23,99.16,,,
00:10.2,590.58,-186.2,8.52,-23.16,97.85,,,
00:10.2,591.93,-187.48,8.96,-24.56,96.56,,,
00:10.2,593.25,-188.73,9.41,-26.19,95.24,,,
00:10.3,594.56,-189.95,9.88,-28.35,94.06,,,
00:10.4,595.86,-191.15,10.38,-30.37,93.12,,,
00:10.4,597.14,-192.33,10.91,-31.9,92.09,,,
00:10.5,598.41,-193.47,11.47,-33.18,91.05,,,
00:10.5,599.66,-194.58,12.05,-34.31,89.97,,,
00:10.6,600.91,-195.66,12.67,-35.18,89.04,,,
00:10.6,602.13,-196.72,13.3,-35.7,88.18,,,
00:10.7,603.35,-197.75,13.95,-36.12,87.28,,,
00:10.7,604.56,-198.75,14.62,-36.64,86.35,,,
00:10.7,605.75,-199.72,15.31,-37.21,85.41,,,
00:10.8,606.93,-200.67,16.02,-38.02,84.47,,,
00:10.9,608.1,-201.58,16.74,-39.15,83.62,,,
00:10.9,609.25,-202.47,17.48,-40.52,82.71,,,
00:11.0,610.4,-203.33,18.23,-42.17,81.81,,,
00:11.0,611.53,-204.16,19,-43.96,80.89,,,
00:11.1,612.64,-204.96,19.78,-45.64,79.95,,,
00:11.1,613.75,-205.73,20.57,-47.25,79.01,,,
00:11.2,614.84,-206.47,21.37,-48.96,78,,,
00:11.2,615.92,-207.18,22.18,-50.61,77.19,,,
00:11.3,616.98,-207.85,23.01,-52.1,76.37,,,
00:11.3,618.04,-208.5,23.84,-53.85,75.59,,,
00:11.4,619.08,-209.11,24.69,-55.75,74.89,,,
00:11.4,620.12,-209.69,25.55,-57.43,74.03,,,
00:11.5,621.14,-210.23,26.41,-58.96,73.02,,,
00:11.5,622.15,-210.74,27.28,-60.66,71.92,,,
00:11.6,623.14,-211.22,28.15,-62.32,70.79,,,
00:11.6,624.12,-211.67,29.02,-63.23,69.61,,,
00:11.6,625.08,-212.1,29.87,-63.26,68.43,,,
00:11.7,626.02,-212.54,30.7,-62.65,67.26,,,
00:11.7,626.95,-212.98,31.52,-61.55,66.1,,,
00:11.8,627.85,-213.44,32.3,-60.01,64.5,,,
00:11.8,628.74,-213.9,33.06,-58.08,63.34,,,
00:11.9,629.62,-214.38,33.79,-56.02,62.58,,,
00:11.9,630.49,-214.89,34.49,-53.91,61.85,,,
00:12.0,631.34,-215.41,35.16,-51.4,60.81,,,
00:12.0,632.19,-215.95,35.81,-48.76,60.39,,,
00:12.1,633.02,-216.51,36.42,-46.43,59.93,,,
00:12.2,633.86,-217.09,37.02,-43.98,59.41,,,
