,sLapDistance,xCarX,xCarY,aYaw,vCar
00:00.1,2.94,400.13,25.43,1.28,187.79
00:00.1,5.6,398,25.39,1.33,187.494
00:00.2,8.28,393.71,25.29,1.42,189.798
00:00.2,10.96,392.64,25.27,1.47,191.788
00:00.3,13.66,389.4,25.19,1.69,193.118
00:00.3,16.37,386.69,25.12,1.86,194.427
00:00.4,19.1,384.51,25.06,1.93,193.555
00:00.4,21.29,380.12,24.93,1.94,193.805
00:00.5,25.14,379.01,24.89,1.93,195.135
00:00.5,27.36,375.69,24.79,1.9,197.171
00:00.6,30.14,372.92,24.7,1.89,198.218
00:00.6,32.93,370.68,24.63,1.89,198.337
00:00.7,35.73,366.19,24.48,1.9,198.563
00:00.7,38.55,365.06,24.44,1.91,199.631
00:00.8,41.38,361.67,24.33,1.93,201.01
00:00.8,44.22,358.83,24.23,1.96,202.289
00:00.9,47.07,356.55,24.16,1.97,201.349
00:00.9,49.37,351.96,24,1.92,201.44
00:01.0,53.39,350.81,23.96,1.91,203.754
00:01.0,55.7,347.35,23.85,1.88,205.17
00:01.1,58.59,344.46,23.75,1.86,206.409
00:01.1,61.49,342.14,23.67,1.84,207.745
00:01.2,64.41,337.47,23.52,1.83,208.957
00:01.2,67.34,336.29,23.48,1.84,207.635
00:01.3,70.28,332.77,23.37,1.85,209.207
00:01.3,73.23,329.82,23.27,1.86,209.415
00:01.4,76.19,327.45,23.19,1.86,209.281
00:01.4,78.57,322.69,23.04,1.86,211.353
00:01.5,82.75,321.49,23,1.86,211.593
00:01.5,85.14,317.9,22.88,1.84,211.759
00:01.6,88.15,314.89,22.78,1.82,213.098
00:01.6,91.16,312.48,22.71,1.8,213.652
00:01.7,94.19,307.64,22.55,1.79,213.703
00:01.7,97.23,306.42,22.51,1.78,214.984
00:01.8,100.28,302.76,22.4,1.77,215.943
00:01.8,103.33,299.71,22.3,1.78,216.849
00:01.9,106.4,297.25,22.22,1.84,218.158
00:01.9,108.86,292.33,22.07,1.99,218.433
00:02.0,113.18,291.09,22.02,2.02,218.347
00:02.0,115.67,287.37,21.9,2.1,218.83
00:02.0,118.78,284.26,21.79,2.12,219.29
00:02.1,121.9,281.77,21.7,2.1,220.526
00:02.2,125.03,276.76,21.52,2.06,221.43
00:02.2,128.16,275.5,21.47,2.04,222.385
00:02.3,131.31,271.72,21.34,2.02,222.95
00:02.3,134.47,268.56,21.22,2.02,223.59
00:02.4,137.64,266.03,21.13,2.07,224.173
00:02.4,140.18,260.94,20.95,2.18,224.918
00:02.5,144.65,259.67,20.9,2.2,225.614
00:02.5,147.21,255.83,20.75,2.24,225.901
00:02.6,150.42,252.62,20.63,2.27,226.816
00:02.6,153.64,250.05,20.53,2.28,226.712
00:02.7,156.86,244.88,20.33,2.31,227.262
00:02.7,160.1,243.59,20.28,2.32,228.45
00:02.8,163.34,239.7,20.12,2.36,229.572
00:02.8,166.6,236.44,19.99,2.39,229.523
00:02.9,169.86,233.83,19.88,2.4,230.234
00:02.9,172.48,228.6,19.67,2.45,231.513
00:03.0,177.08,227.28,19.61,2.46,232.096
00:03.0,179.71,223.34,19.45,2.5,231.819
00:03.1,183.01,220.04,19.3,2.53,233.223
00:03.1,186.32,217.39,19.19,2.54,233.063
00:03.2,189.63,212.1,18.96,2.56,232.795
00:03.2,192.94,210.77,18.9,2.56,233.671
00:03.3,196.25,206.81,18.72,2.59,233.701
00:03.3,199.55,203.51,18.58,2.6,233.744
00:03.4,202.85,200.88,18.46,2.61,233.805
00:03.4,205.48,195.62,18.22,2.6,233.845
00:03.5,210.08,194.31,18.16,2.6,233.838
00:03.5,212.71,190.37,17.98,2.61,233.829
00:03.6,215.99,187.1,17.83,2.59,233.866
00:03.6,219.26,184.48,17.71,2.55,233.884
00:03.7,222.53,179.26,17.47,2.45,233.582
00:03.7,225.8,177.95,17.42,2.42,233.304
00:03.8,229.06,174.04,17.25,2.34,232.517
00:03.8,232.31,170.79,17.11,2.29,231.962
00:03.9,235.56,168.19,17,2.22,232.004
00:03.9,238.16,163,16.79,2.16,231.931
00:04.0,242.7,161.71,16.74,2.18,231.931
00:04.0,245.29,157.83,16.58,2.25,231.669
00:04.0,248.53,154.6,16.45,2.29,231.138
00:04.1,251.76,152.01,16.35,2.32,230.61
00:04.2,254.98,146.86,16.14,2.35,230.037
00:04.2,258.2,145.57,16.09,2.35,230.042
00:04.3,261.42,141.72,15.94,2.35,229.825
00:04.3,264.63,138.51,15.81,2.35,229.67
00:04.4,267.84,135.94,15.7,2.35,229.078
00:04.4,270.4,130.83,15.49,2.36,228.669
00:04.5,274.88,129.55,15.44,2.37,228.708
00:04.5,277.44,125.72,15.28,2.41,228.547
00:04.6,280.63,122.53,15.15,2.42,228.122
00:04.6,283.81,119.98,15.05,2.42,227.79
00:04.7,287,114.9,14.83,2.4,227.417
00:04.7,290.18,113.63,14.78,2.4,226.899
00:04.8,293.35,109.82,14.62,2.41,226.664
00:04.8,296.52,106.66,14.49,2.43,226.493
00:04.9,299.68,104.13,14.38,2.46,226.395
00:04.9,302.21,99.07,14.17,2.58,226.126
00:05.0,306.64,97.81,14.11,2.6,225.782
00:05.0,309.16,94.03,13.94,2.66,225.537
00:05.1,312.31,90.89,13.8,2.69,225.168
00:05.1,315.45,88.38,13.68,2.66,224.802
00:05.2,318.59,83.36,13.46,2.56,224.5
00:05.2,321.73,82.11,13.4,2.54,224.268
00:05.2,324.86,78.35,13.23,2.48,223.908
00:05.3,327.99,75.23,13.09,2.42,223.499
00:05.3,331.11,72.73,12.98,2.39,223.355
00:05.4,333.61,67.74,12.77,2.35,223.336
00:05.5,337.97,66.5,12.71,2.34,222.992
00:05.5,340.46,62.77,12.56,2.32,222.65
00:05.6,343.57,59.66,12.43,2.32,222.171
00:05.6,346.67,57.18,12.33,2.31,221.674
00:05.7,349.77,52.23,12.12,2.26,221.616
00:05.7,352.87,50.99,12.07,2.25,221.353
00:05.8,355.96,47.29,11.93,2.22,221.207
00:05.8,359.05,44.2,11.8,2.19,221.033
00:05.8,362.13,41.74,11.71,2.19,220.56
00:05.9,364.6,36.81,11.52,2.17,220.328
00:05.9,368.9,35.59,11.47,2.16,220.005
00:06.0,371.36,31.9,11.33,2.12,219.684
00:06.0,374.43,28.84,11.21,2.09,219.358
00:06.1,377.49,26.39,11.12,2.06,218.912
00:06.2,380.55,21.5,10.94,2.03,218.625
00:06.2,383.61,20.28,10.89,2.02,218.656
00:06.2,386.66,16.62,10.76,2.04,218.482
00:06.3,389.71,13.57,10.65,2.05,218.024
00:06.4,392.75,11.14,10.56,2.05,217.758
00:06.4,395.18,6.28,10.39,2.08,217.353
00:06.4,399.44,5.07,10.34,2.08,217.011
00:06.5,401.86,1.43,10.21,2.09,217.005
00:06.6,404.89,-1.6,10.1,2.08,216.886
