,sLapDistance,xCarX,xCarY,aYaw,vCar
00:00.0,1.49,402.1,24.19,1.56,189.99
00:00.1,4.14,399.46,24.12,1.54,190.99
00:00.1,6.8,396.8,24.05,1.55,191.96
00:00.2,9.47,394.13,23.98,1.6,192.79
00:00.2,12.15,391.44,23.9,1.65,193.58
00:00.3,14.84,388.75,23.83,1.72,194.5
00:00.3,17.55,386.04,23.75,1.79,195.58
00:00.4,20.28,383.32,23.67,1.82,196.49
00:00.4,23.01,380.59,23.58,1.84,197.38
00:00.5,25.76,377.84,23.5,1.83,198.22
00:00.5,28.52,375.08,23.41,1.83,199.06
00:00.6,31.29,372.32,23.32,1.84,199.93
00:00.6,34.07,369.53,23.23,1.84,200.88
00:00.7,36.87,366.74,23.14,1.85,201.74
00:00.7,39.67,363.93,23.05,1.86,202.56
00:00.8,42.49,361.12,22.96,1.87,203.31
00:00.8,45.32,358.29,22.87,1.88,204.24
00:00.9,48.17,355.45,22.78,1.88,205.09
00:00.9,51.02,352.6,22.68,1.87,205.73
00:01.0,53.88,349.73,22.59,1.86,206.47
00:01.0,56.75,346.87,22.5,1.86,206.89
00:01.1,59.63,343.99,22.4,1.87,207.19
00:01.1,62.51,341.11,22.31,1.88,208.18
00:01.2,65.42,338.21,22.21,1.89,209.38
00:01.2,68.33,335.3,22.12,1.89,210.11
00:01.3,71.25,332.38,22.02,1.89,210.84
00:01.3,74.19,329.45,21.92,1.9,211.66
00:01.4,77.13,326.5,21.82,1.91,212.37
00:01.4,80.08,323.55,21.73,1.92,213.04
00:01.5,83.05,320.59,21.63,1.93,213.8
00:01.5,86.02,317.62,21.53,1.94,214.47
00:01.6,89.01,314.63,21.42,1.95,215.15
00:01.6,92,311.64,21.32,1.96,215.89
00:01.7,95,308.64,21.22,1.97,216.11
00:01.7,98,305.65,21.12,1.95,215.71
00:01.8,100.99,302.65,21.01,1.95,215.36
00:01.8,103.98,299.67,20.91,1.97,215.05
00:01.9,106.96,296.68,20.81,2.02,214.71
00:01.9,109.94,293.71,20.7,2.07,214.37
00:02.0,112.92,290.73,20.6,2.1,214.03
00:02.0,115.89,287.76,20.49,2.11,213.69
00:02.0,118.86,284.8,20.38,2.12,213.37
00:02.1,121.82,281.84,20.27,2.12,213.05
00:02.2,124.77,278.89,20.16,2.13,212.72
00:02.2,127.73,275.94,20.05,2.13,212.39
00:02.3,130.67,272.99,19.94,2.12,212.07
00:02.3,133.62,270.05,19.83,2.1,211.75
00:02.4,136.55,267.11,19.72,2.1,211.44
00:02.4,139.49,264.18,19.62,2.1,211.11
00:02.5,142.42,261.25,19.51,2.09,210.78
00:02.5,145.34,258.33,19.4,2.07,210.47
00:02.6,148.26,255.41,19.29,2.06,210.15
00:02.6,151.18,252.5,19.19,2.03,209.83
00:02.7,154.09,249.59,19.08,2,209.5
00:02.7,157,246.68,18.98,2.01,209.19
00:02.8,159.9,243.78,18.87,2.02,208.89
00:02.8,162.8,240.88,18.77,2.03,208.57
00:02.9,165.7,237.99,18.67,2.03,208.24
00:02.9,168.59,235.1,18.56,2.05,207.93
00:03.0,171.47,232.22,18.46,2.07,207.63
00:03.0,174.36,229.34,18.36,2.08,207.33
00:03.1,177.23,226.46,18.25,2.09,207.01
00:03.1,180.11,223.59,18.15,2.08,206.69
00:03.2,182.97,220.72,18.04,2.06,206.39
00:03.2,185.84,217.86,17.94,2.04,206.08
00:03.3,188.7,215,17.83,2.05,205.77
00:03.3,191.55,212.15,17.73,2.05,205.47
00:03.4,194.41,209.3,17.63,2.05,205.16
00:03.4,197.26,206.45,17.52,2.05,204.84
00:03.5,200.1,203.61,17.42,2.06,204.55
00:03.5,202.94,200.78,17.32,2.06,204.26
00:03.6,205.77,197.94,17.22,2.05,203.96
00:03.6,208.6,195.11,17.11,2.05,203.64
00:03.7,211.43,192.29,17.01,2.04,203.33
00:03.7,214.25,189.47,16.91,2.03,203.02
00:03.8,217.07,186.65,16.81,1.99,202.73
