,sLapDistance,xCarX,xCarY,aYaw,vCar
00:00.0,1.25,316.17,-326.88,12.55,170.65
00:00.1,3.63,313.85,-327.39,12.59,171.62
00:00.1,6.02,311.51,-327.91,12.63,172.6
00:00.2,8.43,309.17,-328.43,12.65,173.5
00:00.2,10.84,306.81,-328.96,12.67,174.39
00:00.3,13.27,304.44,-329.49,12.68,175.27
00:00.3,15.71,302.06,-330.02,12.69,176.13
00:00.4,18.16,299.67,-330.56,12.7,177.01
00:00.4,20.63,297.26,-331.1,12.71,177.92
00:00.5,23.1,294.85,-331.64,12.72,178.77
00:00.5,25.59,292.42,-332.19,12.73,179.6
00:00.6,28.09,289.98,-332.74,12.73,180.45
00:00.6,30.61,287.53,-333.29,12.74,181.28
00:00.7,33.13,285.07,-333.85,12.75,182.11
00:00.7,35.67,282.59,-334.4,12.75,182.95
00:00.8,38.21,280.11,-334.96,12.76,183.73
00:00.8,40.77,277.61,-335.53,12.79,184.52
00:00.9,43.34,275.11,-336.09,12.82,185.36
00:00.9,45.92,272.59,-336.67,12.85,186.14
00:01.0,48.51,270.07,-337.24,12.89,186.91
00:01.0,51.11,267.53,-337.82,12.93,187.69
00:01.1,53.72,264.98,-338.4,12.96,188.46
00:01.1,56.34,262.43,-338.98,12.99,189.22
00:01.2,58.98,259.86,-339.57,13.02,189.98
00:01.2,61.62,257.28,-340.17,13.05,190.73
00:01.3,64.28,254.7,-340.76,13.08,191.47
00:01.3,66.94,252.1,-341.36,13.11,192.21
00:01.4,69.61,249.5,-341.97,13.14,192.94
00:01.4,72.3,246.88,-342.57,13.17,193.68
00:01.5,74.99,244.26,-343.18,13.2,194.42
00:01.5,77.7,241.62,-343.8,13.22,195.13
00:01.6,80.41,238.98,-344.42,13.25,195.84
00:01.6,83.14,236.33,-345.04,13.27,196.54
00:01.7,85.87,233.66,-345.66,13.29,197.24
00:01.7,88.62,230.99,-346.29,13.31,197.94
00:01.8,91.37,228.31,-346.92,13.33,198.62
00:01.8,94.14,225.62,-347.56,13.36,199.32
00:01.9,96.91,222.92,-348.2,13.37,200
00:01.9,99.69,220.22,-348.84,13.39,200.67
00:02.0,102.48,217.5,-349.48,13.41,201.35
00:02.0,105.28,214.77,-350.13,13.43,202.01
00:02.0,108.09,212.04,-350.78,13.44,202.67
00:02.1,110.91,209.3,-351.43,13.46,203.33
00:02.2,113.74,206.55,-352.09,13.47,203.99
00:02.2,116.58,203.79,-352.74,13.48,204.63
00:02.3,119.43,201.02,-353.41,13.49,205.25
00:02.3,122.28,198.24,-354.07,13.49,205.9
