,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:00.0,1.65,315.8,-327.07,12.58,182,,,
00:00.1,4.19,313.32,-327.62,12.62,183.16,,,
00:00.1,6.74,310.83,-328.17,12.65,184.42,,,
00:00.2,9.31,308.32,-328.73,12.67,185.47,,,
00:00.2,11.9,305.8,-329.3,12.68,186.49,,,
00:00.3,14.49,303.27,-329.86,12.69,187.47,,,
00:00.3,17.1,300.72,-330.43,12.71,188.42,,,
00:00.4,19.73,298.16,-331.01,12.72,189.44,,,
00:00.4,22.36,295.59,-331.59,12.74,190.48,,,
00:00.5,25.02,293,-332.17,12.75,191.45,,,
00:00.5,27.68,290.4,-332.76,12.77,192.42,,,
00:00.6,30.36,287.78,-333.35,12.78,193.38,,,
00:00.6,33.05,285.16,-333.94,12.79,194.32,,,
00:00.7,35.76,282.52,-334.54,12.8,195.3,,,
00:00.7,38.48,279.87,-335.14,12.81,196.2,,,
00:00.8,41.21,277.2,-335.74,12.83,197.11,,,
00:00.8,43.95,274.53,-336.35,12.84,198.08,,,
00:00.9,46.71,271.84,-336.96,12.85,198.98,,,
00:00.9,49.48,269.14,-337.57,12.87,199.86,,,
00:01.0,52.26,266.43,-338.19,12.88,200.75,,,
00:01.0,55.06,263.7,-338.81,12.89,201.63,,,
00:01.1,57.86,260.96,-339.44,12.9,202.51,,,
00:01.1,60.68,258.22,-340.06,12.91,203.38,,,
00:01.2,63.51,255.46,-340.69,12.92,204.23,,,
00:01.2,66.36,252.69,-341.33,12.93,205.09,,,
00:01.3,69.21,249.9,-341.96,12.94,205.92,,,
00:01.3,72.08,247.11,-342.6,12.95,206.76,,,
00:01.4,74.95,244.31,-343.25,12.95,207.62,,,
00:01.4,77.84,241.49,-343.89,12.96,208.45,,,
00:01.5,80.74,238.66,-344.54,12.96,209.26,,,
00:01.5,83.66,235.82,-345.19,12.96,210.07,,,
00:01.6,86.58,232.97,-345.84,12.96,210.87,,,
00:01.6,89.51,230.11,-346.5,12.97,211.66,,,
00:01.7,92.46,227.24,-347.16,12.98,212.44,,,
00:01.7,95.41,224.36,-347.82,12.99,213.26,,,
00:01.8,98.38,221.47,-348.49,12.99,214.02,,,
00:01.8,101.36,218.57,-349.15,13,214.8,,,
00:01.9,104.35,215.66,-349.82,13.01,215.57,,,
00:01.9,107.35,212.73,-350.5,13.03,216.33,,,
00:02.0,110.36,209.8,-351.17,13.04,217.09,,,
00:02.0,113.38,206.86,-351.85,13.05,217.86,,,
00:02.0,116.41,203.9,-352.53,13.06,218.6,,,
00:02.1,119.45,200.94,-353.22,13.07,219.32,,,
00:02.2,122.5,197.97,-353.91,13.08,220.05,,,
00:02.2,125.56,194.99,-354.6,13.09,220.79,,,
00:02.3,128.63,191.99,-355.29,13.1,221.5,,,
00:02.3,131.71,188.99,-355.99,13.11,222.23,,,
00:02.4,134.81,185.98,-356.69,13.12,222.93,,,
00:02.4,137.91,182.96,-357.39,13.13,223.63,,,
00:02.5,141.02,179.93,-358.09,13.14,224.33,,,
00:02.5,144.14,176.89,-358.8,13.15,225.02,,,
00:02.6,147.27,173.84,-359.51,13.16,225.72,,,
00:02.6,150.41,170.79,-360.22,13.18,226.38,,,
00:02.7,153.56,167.72,-360.94,13.19,227.06,,,
00:02.7,156.72,164.64,-361.65,13.19,227.75,,,
00:02.8,159.88,161.56,-362.38,13.19,228.43,,,
00:02.8,163.06,158.46,-363.1,13.18,229.06,,,
00:02.9,166.25,155.36,-363.82,13.18,229.7,,,
00:02.9,169.44,152.25,-364.55,13.17,230.36,,,
00:03.0,172.65,149.13,-365.28,13.16,231.03,,,
00:03.0,175.86,146,-366.01,13.15,231.67,,,
00:03.1,179.08,142.86,-366.74,13.14,232.28,,,
00:03.1,182.31,139.72,-367.47,13.14,232.91,,,
00:03.2,185.55,136.56,-368.21,13.13,233.55,,,
00:03.2,188.8,133.4,-368.94,13.12,234.17,,,
00:03.3,192.05,130.23,-369.68,13.12,234.78,,,
00:03.3,195.32,127.05,-370.42,13.1,235.41,,,
00:03.4,198.59,123.86,-371.16,13.09,236.01,,,
00:03.4,201.87,120.66,-371.91,13.08,236.58,,,
00:03.5,205.16,117.46,-372.65,13.07,237.22,,,
00:03.5,208.46,114.24,-373.39,13.05,237.83,,,
00:03.6,211.77,111.02,-374.14,13.05,238.4,,,
00:03.6,215.09,107.79,-374.89,13.03,238.99,,,
00:03.7,218.41,104.55,-375.64,13.02,239.58,,,
00:03.7,221.74,101.31,-376.39,13.01,240.16,,,
00:03.8,225.08,98.05,-377.14,13,240.73,,,
00:03.8,228.43,94.79,-377.89,13,241.3,,,
00:03.9,231.78,91.52,-378.64,13,241.85,,,
00:03.9,235.15,88.25,-379.4,13,242.41,,,
00:04.0,238.52,84.96,-380.15,13.01,242.97,,,
00:04.0,241.9,81.67,-380.91,13.02,243.52,,,
00:04.0,245.28,78.37,-381.67,13.05,244.08,,,
00:04.1,248.68,75.06,-382.44,13.07,244.61,,,
00:04.2,252.08,71.75,-383.2,13.09,245.15,,,
00:04.2,255.49,68.43,-383.97,13.11,245.71,,,
00:04.3,258.9,65.1,-384.74,13.13,246.22,,,
00:04.3,262.32,61.77,-385.52,13.15,246.23,,,
00:04.4,265.74,58.44,-386.29,13.18,245.76,,,
00:04.4,269.15,55.12,-387.06,13.2,245.28,,,
00:04.5,272.55,51.8,-387.84,13.2,244.82,,,
00:04.5,275.95,48.5,-388.61,13.19,244.38,,,
00:04.6,279.34,45.19,-389.38,13.19,243.94,,,
00:04.6,282.73,41.9,-390.15,13.2,243.48,,,
00:04.7,286.1,38.61,-390.92,13.21,243.04,,,
00:04.7,289.48,35.32,-391.69,13.22,242.6,,,
00:04.8,292.84,32.05,-392.45,13.23,242.16,,,
00:04.8,296.2,28.77,-393.22,13.25,241.7,,,
