,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:00.0,1.77,-3.12,-37.34,-89.52,171.68,,,
00:00.1,4.16,-3.14,-34.94,-89.52,172.78,,,
00:00.1,6.57,-3.16,-32.54,-89.54,173.94,,,
00:00.2,9,-3.18,-30.11,-89.56,175.14,,,
00:00.2,11.44,-3.2,-27.67,-89.58,176.23,,,
00:00.3,13.89,-3.21,-25.22,-89.6,177.19,,,
00:00.3,16.36,-3.23,-22.75,-89.62,178.11,,,
00:00.4,18.84,-3.25,-20.27,-89.64,179.29,,,
00:00.4,21.34,-3.26,-17.77,-89.64,180.61,,,
00:00.5,23.85,-3.28,-15.25,-89.63,181.69,,,
00:00.5,26.38,-3.3,-12.72,-89.61,182.69,,,
00:00.6,28.93,-3.31,-10.18,-89.61,183.5,,,
00:00.6,31.48,-3.33,-7.62,-89.6,184.66,,,
00:00.7,34.05,-3.35,-5.06,-89.6,184.94,,,
00:00.7,36.62,-3.36,-2.49,-89.59,184.78,,,
00:00.8,39.18,-3.38,0.08,-89.55,184.64,,,
00:00.8,41.75,-3.4,2.64,-89.51,184.42,,,
00:00.9,44.31,-3.41,5.2,-89.5,184.23,,,
00:00.9,46.86,-3.43,7.76,-89.51,184.07,,,
00:01.0,49.42,-3.46,10.31,-89.51,183.91,,,
00:01.0,51.97,-3.48,12.87,-89.53,183.72,,,
00:01.1,54.52,-3.5,15.42,-89.56,183.55,,,
00:01.1,57.07,-3.52,17.96,-89.58,183.35,,,
00:01.2,59.62,-3.53,20.51,-89.59,183.15,,,
00:01.2,62.16,-3.55,23.05,-89.61,182.94,,,
00:01.3,64.7,-3.57,25.59,-89.64,182.68,,,
00:01.3,67.23,-3.59,28.13,-89.67,182.42,,,
00:01.4,69.77,-3.6,30.66,-89.7,182.18,,,
00:01.4,72.29,-3.61,33.19,-89.71,181.97,,,
00:01.5,74.82,-3.63,35.71,-89.74,181.76,,,
00:01.5,77.34,-3.64,38.24,-89.77,181.51,,,
00:01.6,79.86,-3.65,40.75,-89.78,181.29,,,
00:01.6,82.38,-3.66,43.27,-89.78,181.07,,,
00:01.7,84.89,-3.67,45.78,-89.81,180.84,,,
00:01.7,87.4,-3.68,48.29,-89.82,180.59,,,
00:01.8,89.91,-3.68,50.8,-89.83,180.38,,,
00:01.8,92.41,-3.69,53.3,-89.85,180.15,,,
00:01.9,94.91,-3.7,55.81,-89.87,179.91,,,
00:01.9,97.41,-3.7,58.3,-89.88,179.69,,,
00:02.0,99.9,-3.71,60.8,-89.87,179.49,,,
00:02.0,102.4,-3.71,63.29,-89.84,179.26,,,
00:02.0,104.88,-3.72,65.77,-89.78,178.69,,,
