,sLapDistance,xCarX,xCarY,aYaw,vCar
00:00.0,1.52,-1.75,-37.56,-89.08,177.71
00:00.1,3.99,-1.79,-35.08,-89.13,178.7
00:00.1,6.48,-1.83,-32.6,-89.2,179.73
00:00.2,8.98,-1.86,-30.09,-89.23,180.74
00:00.2,11.5,-1.9,-27.58,-89.26,181.74
00:00.3,14.03,-1.93,-25.05,-89.28,182.59
00:00.3,16.57,-1.96,-22.5,-89.33,183.6
00:00.4,19.13,-2,-19.95,-89.37,184.69
00:00.4,21.7,-2.03,-17.37,-89.38,185.6
00:00.5,24.28,-2.05,-14.79,-89.4,186.55
00:00.5,26.88,-2.08,-12.19,-89.4,187.38
00:00.6,29.49,-2.11,-9.58,-89.41,188.37
00:00.6,32.12,-2.13,-6.96,-89.41,189.34
00:00.7,34.75,-2.16,-4.32,-89.42,190.25
00:00.7,37.4,-2.19,-1.68,-89.4,191.08
00:00.8,40.06,-2.21,0.98,-89.35,191.83
00:00.8,42.73,-2.24,3.65,-89.32,192.88
00:00.9,45.42,-2.27,6.34,-89.34,193.74
00:00.9,48.11,-2.3,9.03,-89.34,194.42
00:01.0,50.82,-2.33,11.74,-89.34,195.41
00:01.0,53.54,-2.36,14.46,-89.36,196.27
00:01.1,56.27,-2.39,17.19,-89.38,197.14
00:01.1,59.01,-2.42,19.94,-89.38,197.91
00:01.2,61.76,-2.45,22.69,-89.37,198.65
00:01.2,64.53,-2.48,25.45,-89.36,199.51
00:01.3,67.31,-2.51,28.23,-89.37,200.45
00:01.3,70.1,-2.54,31.02,-89.36,201.27
00:01.4,72.9,-2.57,33.82,-89.36,201.92
00:01.4,75.71,-2.6,36.63,-89.32,202.74
00:01.5,78.53,-2.63,39.45,-89.26,203.64
00:01.5,81.36,-2.66,42.29,-89.21,204.34
00:01.6,84.2,-2.7,45.13,-89.16,205.05
00:01.6,87.06,-2.74,47.98,-89.13,205.98
00:01.7,89.93,-2.78,50.85,-89.11,206.69
00:01.7,92.8,-2.82,53.72,-89.07,207.43
00:01.8,95.69,-2.86,56.61,-89.03,208.25
00:01.8,98.59,-2.91,59.51,-89,208.94
00:01.9,101.49,-2.95,62.41,-88.94,209.61
00:01.9,104.41,-3,65.33,-88.87,210.42
00:02.0,107.34,-3.06,68.26,-88.86,211.19
00:02.0,110.28,-3.11,71.19,-88.9,211.92
