,sLapDistance,xCarX,xCarY,vCar,aYaw
00:00.0,1.04,-25.97,-209.81,187.97,-147.45
00:00.1,3.66,-23.77,-208.4,188.82,-147.47
00:00.1,6.29,-21.55,-206.99,189.7,-147.49
00:00.2,8.93,-19.33,-205.57,190.56,-147.5
00:00.2,11.58,-17.09,-204.15,191.41,-147.52
00:00.3,14.25,-14.84,-202.72,192.25,-147.53
00:00.3,16.92,-12.59,-201.28,193.1,-147.55
00:00.4,19.61,-10.32,-199.84,193.93,-147.56
00:00.4,22.31,-8.04,-198.39,194.75,-147.58
00:00.5,25.02,-5.75,-196.94,195.57,-147.59
00:00.5,27.74,-3.45,-195.48,196.38,-147.6
00:00.6,30.47,-1.15,-194.01,197.16,-147.6
00:00.6,33.22,1.17,-192.54,197.95,-147.6
00:00.7,35.97,3.5,-191.07,198.73,-147.61
00:00.7,38.74,5.83,-189.59,199.5,-147.61
00:00.8,41.51,8.17,-188.1,200.3,-147.62
00:00.8,44.3,10.53,-186.61,201.06,-147.62
00:00.9,47.1,12.89,-185.11,201.8,-147.63
00:00.9,49.91,15.26,-183.61,202.55,-147.63
00:01.0,52.73,17.64,-182.1,203.31,-147.64
00:01.0,55.55,20.03,-180.58,204.04,-147.62
00:01.1,58.39,22.43,-179.06,204.77,-147.6
00:01.1,61.24,24.83,-177.54,205.52,-147.58
00:01.2,64.1,27.25,-176.01,206.22,-147.55
00:01.2,66.97,29.67,-174.47,206.94,-147.51
00:01.3,69.85,32.1,-172.92,207.65,-147.46
00:01.3,72.74,34.54,-171.37,208.34,-147.4
00:01.4,75.64,36.98,-169.81,209.07,-147.34
00:01.4,78.55,39.43,-168.25,209.76,-147.3
00:01.5,81.46,41.89,-166.67,210.43,-147.24
00:01.5,84.39,44.35,-165.09,211.13,-147.18
00:01.6,87.33,46.82,-163.5,211.81,-147.12
00:01.6,90.28,49.3,-161.91,212.49,-147.08
00:01.7,93.23,51.78,-160.3,213.15,-147.04
00:01.7,96.2,54.27,-158.69,213.81,-147
00:01.8,99.17,56.76,-157.08,214.43,-146.95
00:01.8,102.15,59.27,-155.45,215.13,-146.9
00:01.9,105.14,61.77,-153.82,215.75,-146.86
00:01.9,108.15,64.29,-152.19,216.4,-146.8
00:02.0,111.16,66.81,-150.54,217.05,-146.76
00:02.0,114.18,69.34,-148.89,217.68,-146.73
00:02.0,117.2,71.87,-147.23,218.33,-146.69
00:02.1,120.24,74.41,-145.57,218.94,-146.65
00:02.2,123.28,76.95,-143.9,219.54,-146.6
00:02.2,126.34,79.5,-142.22,220.17,-146.54
00:02.3,129.4,82.06,-140.53,220.8,-146.49
00:02.3,132.47,84.62,-138.84,221.35,-146.39
00:02.4,135.55,87.19,-137.14,222.01,-146.29
00:02.4,138.64,89.76,-135.43,222.58,-146.22
00:02.5,141.73,92.33,-133.72,223.18,-146.14
00:02.5,144.84,94.92,-131.99,223.74,-146.08
00:02.6,147.95,97.5,-130.26,224.33,-146
00:02.6,151.07,100.09,-128.52,224.94,-145.95
00:02.7,154.2,102.68,-126.77,225.5,-145.9
00:02.7,157.33,105.28,-125.02,226.08,-145.86
00:02.8,160.48,107.89,-123.26,226.64,-145.82
00:02.8,163.63,110.5,-121.49,227.21,-145.78
00:02.9,166.79,113.11,-119.72,227.75,-145.75
00:02.9,169.95,115.73,-117.94,228.28,-145.71
00:03.0,173.13,118.36,-116.16,228.86,-145.68
00:03.0,176.31,120.99,-114.37,229.41,-145.65
00:03.1,179.5,123.62,-112.57,229.94,-145.63
00:03.1,182.7,126.26,-110.77,230.49,-145.6
00:03.2,185.9,128.91,-108.96,230.99,-145.58
00:03.2,189.11,131.56,-107.15,231.49,-145.57
00:03.3,192.33,134.22,-105.33,232.06,-145.55
00:03.3,195.56,136.88,-103.51,232.6,-145.53
00:03.4,198.79,139.54,-101.68,233.12,-145.51
00:03.4,202.04,142.22,-99.84,233.62,-145.49
00:03.5,205.28,144.89,-98.01,234.12,-145.48
00:03.5,208.54,147.58,-96.16,234.65,-145.46
00:03.6,211.8,150.27,-94.31,235.12,-145.44
00:03.6,215.07,152.96,-92.46,235.64,-145.41
00:03.7,218.35,155.66,-90.6,236.15,-145.4
00:03.7,221.63,158.36,-88.74,236.59,-145.4
00:03.8,224.92,161.07,-86.88,237.08,-145.39
00:03.8,228.22,163.78,-85.01,237.6,-145.37
00:03.9,231.52,166.5,-83.13,238.08,-145.36
00:03.9,234.83,169.23,-81.25,238.56,-145.35
00:04.0,238.14,171.95,-79.37,239.04,-145.35
00:04.0,241.47,174.69,-77.48,239.51,-145.36
00:04.0,244.8,177.43,-75.59,239.99,-145.38
00:04.1,248.13,180.17,-73.69,240.46,-145.4
00:04.2,251.48,182.93,-71.79,240.89,-145.43
00:04.2,254.83,185.68,-69.89,241.37,-145.49
00:04.3,258.18,188.45,-67.99,241.83,-145.54
00:04.3,261.54,191.22,-66.09,242.28,-145.58
00:04.4,264.91,193.99,-64.18,242.74,-145.6
00:04.4,268.29,196.78,-62.28,243.18,-145.62
00:04.5,271.67,199.57,-60.37,243.62,-145.66
00:04.5,275.05,202.36,-58.45,244.07,-145.7
00:04.6,278.45,205.16,-56.54,244.5,-145.75
00:04.6,281.85,207.97,-54.63,244.95,-145.8
