2025-11-06 10:36:13,893 | INFO | MainThread | V3M | Launching V3M Simulation Console Application...
2025-11-06 10:36:14,019 | INFO | MainThread | V3M | ConsoleApp initialized
2025-11-06 10:36:14,045 | INFO | ResetListener | V3M | Reset listener bound on UDP port 6015
2025-11-06 10:36:47,114 | INFO | MainThread | V3M | Starting server task
2025-11-06 10:36:47,114 | INFO | MainThread | V3M | BackgroundTask started: run_server
2025-11-06 10:36:47,114 | INFO | Thread-2 | V3M | Starting UDP server...
2025-11-06 10:36:47,114 | INFO | Thread-2 | V3M | Server bound to 127.0.0.1:6020
2025-11-06 10:36:54,176 | INFO | Thread-2 | V3M | Client connected: ('127.0.0.1', 60671)
2025-11-06 10:36:54,176 | INFO | Thread-2 | V3M | Server stopped.
2025-11-06 10:36:54,176 | INFO | Thread-2 | V3M | BackgroundTask stop requested: run_server
2025-11-06 10:37:10,325 | INFO | MainThread | V3M | Simulation starting...
2025-11-06 10:37:10,329 | INFO | MainThread | V3M | BackgroundTask started: run_backend_script
2025-11-06 10:37:10,331 | INFO | Thread-3 | V3M | Backend simulation loop starting
2025-11-06 10:37:10,355 | INFO | Thread-3 | V3M | Validating track file selection
2025-11-06 10:37:10,361 | INFO | Thread-3 | V3M | Track file read successfully: C:\Users\Alex.Gyetvai\OneDrive - Fortescue Metals Group\ShareFolder\V3M\Trajectories\ValenciaS11_Run_3049.csv (rows=1714, cols=6)
2025-11-06 10:37:10,373 | INFO | Thread-3 | V3M | Trajectory loaded: C:\Users\Alex.Gyetvai\OneDrive - Fortescue Metals Group\ShareFolder\V3M\Trajectories\ValenciaS11_Run_3049.csv (rows=1714)
2025-11-06 10:37:10,373 | INFO | Thread-3 | V3M | Parameters loaded | Dil=False, laps=inf, e_phi_gain=2.000, steer_limits=28.000
2025-11-06 10:37:10,382 | INFO | Thread-3 | V3M | Waiting for client loop entered
2025-11-06 10:37:10,484 | INFO | Thread-3 | V3M | Lap reference generated (first iteration). clockwise=False, maxS=3331.41
2025-11-06 10:37:40,763 | WARNING | MainThread | V3M | Simulation abort pressed
2025-11-06 10:37:40,763 | INFO | MainThread | V3M | BackgroundTask stop requested: run_backend_script
2025-11-06 10:37:40,779 | WARNING | Thread-3 | V3M | Abort flag detected during simulation loop; breaking
2025-11-06 10:37:40,779 | INFO | Thread-3 | V3M | Client connection closed / final braking command sent
2025-11-06 10:37:40,795 | INFO | Thread-3 | V3M | Final lap time recorded: 44.434s
2025-11-06 10:37:40,795 | INFO | Thread-3 | V3M | Server socket closed
2025-11-06 10:37:40,795 | INFO | Thread-3 | V3M | Generating plots...
2025-11-06 10:37:40,970 | WARNING | Thread-3 | V3M | Plot function plotTraj returned None
2025-11-06 10:37:41,145 | WARNING | Thread-3 | V3M | Plot function plot_e_phi_Values returned None
2025-11-06 10:37:41,654 | WARNING | Thread-3 | V3M | Plot function plot_e_l_Values returned None
2025-11-06 10:37:41,813 | WARNING | Thread-3 | V3M | Plot function plot_balance_Values returned None
2025-11-06 10:37:42,005 | WARNING | Thread-3 | V3M | Plot function plot_Angles returned None
2025-11-06 10:37:42,197 | WARNING | Thread-3 | V3M | Plot function plot_Torque returned None
2025-11-06 10:37:42,388 | WARNING | Thread-3 | V3M | Plot function plot_TargetValues returned None
2025-11-06 10:37:42,579 | WARNING | Thread-3 | V3M | Plot function plot_PedalValues returned None
2025-11-06 10:37:42,754 | WARNING | Thread-3 | V3M | Plot function plot_nMGU_Values returned None
2025-11-06 10:37:42,930 | WARNING | Thread-3 | V3M | Plot function plot_Throttle_PID_Values returned None
